YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2020-01,Jemen,421,72,72,0,64,2,9,40,2,2,9,391,4,2,9,40,0,2,8,0,0,0,2,0,1,0
2020-02,Jemen,421,61,58,3,60,0,4,35,4,10,7,399,7,0,4,35,2,10,7,0,0,0,2,0,0,0
2020-03,Jemen,421,30,30,0,65,1,8,40,2,7,7,372,4,1,8,40,1,7,4,0,0,0,1,0,1,2
2020-04,Jemen,421,41,38,3,28,1,2,16,0,7,2,391,4,1,2,16,0,7,0,0,0,0,0,0,2,0
2020-05,Jemen,421,19,19,0,72,2,0,38,0,22,10,352,2,2,0,38,0,21,9,0,0,0,0,1,0,1
2020-06,Jemen,421,28,28,0,39,2,2,15,2,13,5,348,4,2,2,15,2,13,5,0,0,0,0,0,0,0
2020-07,Jemen,421,29,28,1,60,4,4,27,1,12,12,320,6,4,4,27,1,12,12,0,0,0,0,0,0,0
2020-08,Jemen,421,26,26,0,41,1,0,21,2,11,6,316,5,1,0,21,2,11,5,0,0,0,0,0,1,0
2020-09,Jemen,421,34,33,1,40,2,10,15,2,7,4,318,5,2,10,15,1,7,2,0,0,0,1,0,1,1
2020-10,Jemen,421,16,16,0,47,0,10,10,6,15,6,288,4,0,10,10,6,15,4,0,0,0,0,0,1,1
2020-11,Jemen,421,47,47,0,41,3,1,19,7,6,5,301,4,3,1,19,7,6,5,0,0,0,0,0,0,0
2020-12,Jemen,421,28,26,2,41,5,6,18,1,9,2,293,5,5,6,18,1,9,1,0,0,0,0,0,1,0
2021-01,Jemen,421,35,32,3,40,0,4,30,2,1,3,294,7,0,4,29,2,1,3,0,0,1,0,0,0,0
2021-02,Jemen,421,17,17,0,39,2,0,15,5,12,5,281,8,2,0,15,5,11,4,0,0,0,0,1,1,0
2021-03,Jemen,421,14,14,0,35,0,4,19,0,7,5,268,4,0,4,19,0,7,1,0,0,0,0,0,3,1
2021-04,Jemen,421,26,26,0,25,0,0,14,1,3,7,279,2,0,0,14,1,3,5,0,0,0,0,0,2,0
2021-05,Jemen,421,13,13,0,25,0,1,12,2,8,2,271,2,0,1,12,2,8,2,0,0,0,0,0,0,0
2021-06,Jemen,421,19,18,1,32,0,1,13,0,9,9,265,2,0,1,13,0,9,8,0,0,0,0,0,1,0
2021-07,Jemen,421,22,22,0,36,1,0,20,2,8,5,252,3,1,0,20,2,8,5,0,0,0,0,0,0,0
2021-08,Jemen,421,39,37,2,27,6,2,8,2,8,1,269,4,6,2,8,1,8,0,0,0,0,1,0,1,0
2021-09,Jemen,421,61,60,1,29,1,2,18,0,5,3,305,5,1,2,18,0,5,3,0,0,0,0,0,0,0
2021-10,Jemen,421,73,73,0,21,1,0,12,0,5,3,359,6,1,0,12,0,5,3,0,0,0,0,0,0,0
2021-11,Jemen,421,235,234,1,37,0,3,17,0,8,9,562,7,0,3,17,0,8,9,0,0,0,0,0,0,0
