YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2020-01,Libyen,248,73,64,9,78,0,8,11,0,7,52,285,26,0,8,10,0,7,44,0,0,1,0,0,4,4
2020-02,Libyen,248,55,51,4,65,2,2,12,2,27,20,284,25,2,2,12,2,25,16,0,0,0,0,2,1,3
2020-03,Libyen,248,52,50,2,127,0,2,39,5,58,23,235,23,0,2,39,4,58,18,0,0,0,1,0,2,3
2020-04,Libyen,248,47,47,0,29,1,5,12,1,7,3,269,22,1,5,12,1,7,3,0,0,0,0,0,0,0
2020-05,Libyen,248,34,31,3,117,8,4,42,2,35,26,201,22,6,3,39,2,35,23,2,1,3,0,0,1,2
2020-06,Libyen,248,32,30,2,77,0,3,12,5,28,29,181,17,0,3,7,0,27,27,0,0,5,5,1,0,2
2020-07,Libyen,248,46,41,5,58,0,7,21,1,19,10,173,22,0,7,21,1,18,9,0,0,0,0,1,0,1
2020-08,Libyen,248,44,34,10,58,5,5,14,5,10,19,158,24,5,5,14,4,7,14,0,0,0,1,3,4,1
2020-09,Libyen,248,56,46,10,59,0,4,10,1,28,16,171,25,0,4,9,1,26,6,0,0,1,0,2,7,3
2020-10,Libyen,248,67,57,10,57,1,0,6,6,12,32,183,34,1,0,5,5,12,23,0,0,1,1,0,9,0
2020-11,Libyen,248,52,50,2,53,0,4,6,8,10,25,193,29,0,3,5,7,8,23,0,1,1,1,2,1,1
2020-12,Libyen,248,60,54,6,45,0,3,10,3,11,18,211,31,0,3,10,3,11,15,0,0,0,0,0,0,3
2021-01,Libyen,248,72,64,8,87,0,1,18,5,22,41,214,41,0,1,18,5,21,36,0,0,0,0,1,3,2
2021-02,Libyen,248,44,39,5,109,1,0,39,0,12,57,175,35,1,0,35,0,11,51,0,0,4,0,1,3,3
2021-03,Libyen,248,28,23,5,95,1,3,21,1,22,47,128,23,1,3,18,1,20,33,0,0,3,0,2,9,5
2021-04,Libyen,248,24,10,14,50,0,0,4,1,14,31,115,27,0,0,3,0,14,16,0,0,1,1,0,13,2
2021-05,Libyen,248,45,42,3,41,1,4,11,2,13,10,124,26,1,4,8,1,12,10,0,0,3,1,1,0,0
2021-06,Libyen,248,29,23,6,32,1,1,7,3,3,17,127,18,1,1,5,3,3,9,0,0,2,0,0,3,5
2021-07,Libyen,248,26,17,9,62,0,1,10,2,25,24,105,24,0,1,4,2,24,19,0,0,6,0,1,2,3
2021-08,Libyen,248,56,46,10,74,0,5,2,1,39,27,123,16,0,5,2,1,39,8,0,0,0,0,0,17,2
2021-09,Libyen,248,59,57,2,66,1,7,2,0,28,28,153,11,1,7,2,0,27,19,0,0,0,0,1,9,0
2021-10,Libyen,248,69,64,5,72,0,4,1,1,29,37,163,12,0,4,1,0,27,33,0,0,0,1,2,3,1
2021-11,Libyen,248,84,74,10,55,0,0,4,4,20,27,193,21,0,0,4,3,20,26,0,0,0,1,0,0,1
