YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,0,1,0,3,8
2020-02,0,4,1,0,9
2020-03,0,2,0,1,9
2020-04,0,1,0,0,0
2020-05,0,1,0,1,9
2020-06,0,1,0,2,11
2020-07,1,0,0,1,12
2020-08,0,0,0,1,10
2020-09,0,2,0,1,10
2020-10,0,9,1,0,5
2020-11,0,1,0,1,17
2020-12,0,1,0,1,17
2021-01,0,0,0,0,11
2021-02,0,0,0,4,6
2021-03,0,2,0,0,3
2021-04,0,1,0,0,8
2021-05,0,0,0,1,12
2021-06,0,1,0,2,8
2021-07,0,1,0,0,2
2021-08,0,0,0,2,7
2021-09,1,0,0,0,6
2021-10,1,1,1,0,4
2021-11,0,1,0,0,1
