YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2020-01,"Moldau, Republik",146,505,339,166,529,0,0,0,2,195,332,513,74,0,0,0,2,194,107,0,0,0,0,1,181,44
2020-02,"Moldau, Republik",146,262,152,110,434,0,0,0,0,217,217,346,67,0,0,0,0,210,108,0,0,0,0,7,99,10
2020-03,"Moldau, Republik",146,64,40,24,259,0,0,0,2,131,126,195,28,0,0,0,2,126,62,0,0,0,0,5,43,21
2020-04,"Moldau, Republik",146,53,42,11,8,0,0,0,0,2,6,226,43,0,0,0,0,2,6,0,0,0,0,0,0,0
2020-05,"Moldau, Republik",146,50,33,17,111,0,0,0,1,86,24,160,49,0,0,0,1,84,14,0,0,0,0,2,3,7
2020-06,"Moldau, Republik",146,22,20,2,82,0,0,0,3,41,38,114,44,0,0,0,3,41,28,0,0,0,0,0,7,3
2020-07,"Moldau, Republik",146,147,68,79,117,0,0,0,2,53,62,115,83,0,0,0,0,48,23,0,0,0,2,5,37,2
2020-08,"Moldau, Republik",146,198,134,64,225,0,0,0,2,80,143,163,46,0,0,0,0,79,22,0,0,0,2,1,115,6
2020-09,"Moldau, Republik",146,187,109,78,170,0,0,0,0,58,112,198,44,0,0,0,0,56,24,0,0,0,0,2,88,0
2020-10,"Moldau, Republik",146,163,92,71,232,0,0,0,0,95,137,152,42,0,0,0,0,95,45,0,0,0,0,0,53,39
2020-11,"Moldau, Republik",146,243,125,118,205,0,0,0,0,85,120,161,77,0,0,0,0,85,39,0,0,0,0,0,65,16
2020-12,"Moldau, Republik",146,303,132,171,246,0,0,0,0,55,191,184,126,0,0,0,0,54,58,0,0,0,0,1,95,38
2021-01,"Moldau, Republik",146,196,112,84,236,0,0,0,0,76,160,145,153,0,0,0,0,75,63,0,0,0,0,1,59,38
2021-02,"Moldau, Republik",146,63,36,27,197,0,0,0,0,66,131,98,86,0,0,0,0,54,36,0,0,0,0,12,84,11
2021-03,"Moldau, Republik",146,93,37,56,114,0,0,0,0,24,90,94,87,0,0,0,0,24,20,0,0,0,0,0,61,9
2021-04,"Moldau, Republik",146,140,67,73,131,0,0,0,0,48,83,100,119,0,0,0,0,46,16,0,0,0,0,2,49,18
2021-05,"Moldau, Republik",146,159,68,91,138,0,0,0,0,36,102,115,145,0,0,0,0,35,16,0,0,0,0,1,74,12
2021-06,"Moldau, Republik",146,284,111,173,223,0,0,0,0,44,179,151,215,0,0,0,0,43,27,0,0,0,0,1,120,32
2021-07,"Moldau, Republik",146,654,233,421,531,0,0,0,0,110,421,245,249,0,0,0,0,105,31,0,0,0,0,5,357,33
2021-08,"Moldau, Republik",146,951,431,520,698,0,0,0,0,235,463,430,333,0,0,0,0,232,24,0,0,0,0,3,415,24
2021-09,"Moldau, Republik",146,794,485,309,763,0,0,0,1,339,423,533,287,0,0,0,1,324,68,0,0,0,0,15,314,41
2021-10,"Moldau, Republik",146,537,291,246,624,0,0,0,0,291,333,473,277,0,0,0,0,285,68,0,0,0,0,6,250,15
2021-11,"Moldau, Republik",146,587,325,262,608,0,0,0,1,268,339,463,271,0,0,0,1,262,61,0,0,0,0,6,243,35
