YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2020-01,0,0,0,2,195,332
2020-02,0,0,0,0,217,217
2020-03,0,0,0,2,131,126
2020-04,0,0,0,0,2,6
2020-05,0,0,0,1,86,24
2020-06,0,0,0,3,41,38
2020-07,0,0,0,2,53,62
2020-08,0,0,0,2,80,143
2020-09,0,0,0,0,58,112
2020-10,0,0,0,0,95,137
2020-11,0,0,0,0,85,120
2020-12,0,0,0,0,55,191
2021-01,0,0,0,0,76,160
2021-02,0,0,0,0,66,131
2021-03,0,0,0,0,24,90
2021-04,0,0,0,0,48,83
2021-05,0,0,0,0,36,102
2021-06,0,0,0,0,44,179
2021-07,0,0,0,0,110,421
2021-08,0,0,0,0,235,463
2021-09,0,0,0,1,339,423
2021-10,0,0,0,0,291,333
2021-11,0,0,0,1,268,339
