YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,0,0,0,2,195
2020-02,0,0,0,0,217
2020-03,0,0,0,2,131
2020-04,0,0,0,0,2
2020-05,0,0,0,1,86
2020-06,0,0,0,3,41
2020-07,0,0,0,2,53
2020-08,0,0,0,2,80
2020-09,0,0,0,0,58
2020-10,0,0,0,0,95
2020-11,0,0,0,0,85
2020-12,0,0,0,0,55
2021-01,0,0,0,0,76
2021-02,0,0,0,0,66
2021-03,0,0,0,0,24
2021-04,0,0,0,0,48
2021-05,0,0,0,0,36
2021-06,0,0,0,0,44
2021-07,0,0,0,0,110
2021-08,0,0,0,0,235
2021-09,0,0,0,1,339
2021-10,0,0,0,0,291
2021-11,0,0,0,1,268
