YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,3,23,4,44,324
2020-02,0,9,3,13,264
2020-03,3,26,3,21,270
2020-04,0,5,2,10,177
2020-05,0,26,4,40,618
2020-06,1,38,7,48,401
2020-07,1,28,5,14,454
2020-08,0,32,2,19,225
2020-09,2,18,0,14,267
2020-10,1,26,2,26,303
2020-11,4,20,6,25,341
2020-12,1,17,8,13,253
2021-01,8,22,1,25,311
2021-02,0,22,4,29,334
2021-03,3,23,2,27,283
2021-04,1,18,6,15,266
2021-05,0,14,5,20,218
2021-06,1,29,6,16,225
2021-07,1,31,4,20,206
2021-08,2,15,2,16,185
2021-09,3,24,3,30,211
2021-10,2,30,5,23,186
2021-11,2,14,1,21,212
