YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,0,6,1,3,111
2020-02,0,20,0,6,84
2020-03,0,20,0,0,88
2020-04,0,15,0,3,40
2020-05,0,10,1,8,143
2020-06,2,19,0,3,93
2020-07,0,12,0,6,87
2020-08,3,9,2,1,89
2020-09,0,10,1,5,99
2020-10,1,14,1,2,96
2020-11,2,7,1,0,107
2020-12,0,14,0,3,108
2021-01,0,12,0,0,70
2021-02,0,15,0,2,95
2021-03,0,17,0,4,86
2021-04,0,10,0,3,43
2021-05,0,7,2,10,49
2021-06,1,8,2,3,29
2021-07,0,26,1,2,57
2021-08,1,14,1,5,39
2021-09,0,14,1,7,75
2021-10,0,8,2,7,57
2021-11,0,16,0,4,63
