YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2020-01,0,2,0,2,15,7
2020-02,0,3,0,2,7,9
2020-03,0,7,0,0,18,11
2020-04,1,2,0,0,18,2
2020-05,0,1,0,2,13,12
2020-06,0,0,0,5,11,12
2020-07,0,1,1,2,18,13
2020-08,0,2,0,1,19,9
2020-09,0,4,0,1,21,13
2020-10,0,3,0,1,4,6
2020-11,0,3,0,3,5,11
2020-12,0,2,0,1,10,6
2021-01,0,2,0,1,6,6
2021-02,0,0,0,2,4,10
2021-03,0,1,0,1,15,7
2021-04,0,1,0,0,1,8
2021-05,0,0,1,2,12,14
2021-06,1,2,0,0,7,11
2021-07,0,1,0,2,12,13
2021-08,0,2,0,2,6,5
2021-09,3,1,0,2,8,5
2021-10,0,0,0,2,9,4
2021-11,0,5,0,3,12,7
