YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,25,1681,1398,17,3
2020-02,34,1514,1334,22,9
2020-03,11,1841,1206,14,6
2020-04,25,1012,158,3,4
2020-05,25,1573,1666,20,4
2020-06,23,1767,1499,12,4
2020-07,17,1691,1348,39,6
2020-08,19,1496,1236,14,6
2020-09,25,1571,1391,12,8
2020-10,26,1574,1544,13,5
2020-11,16,1516,1673,18,2
2020-12,20,1335,992,10,0
2021-01,16,1255,1531,10,2
2021-02,16,1204,1914,16,4
2021-03,29,1170,1639,14,4
2021-04,16,1127,1310,20,4
2021-05,13,1145,1156,16,6
2021-06,12,1366,1576,18,3
2021-07,26,1571,1811,16,11
2021-08,32,1628,1695,19,7
2021-09,18,1409,1960,33,4
2021-10,8,1314,1791,33,8
2021-11,20,1366,1835,22,9
