YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2020-01,Tuerkei,163,889,826,63,1222,58,534,8,4,473,145,5989,243,58,525,5,2,462,99,0,9,3,2,11,39,7
2020-02,Tuerkei,163,713,656,57,873,43,338,2,1,405,84,5897,246,43,330,2,1,388,55,0,8,0,0,17,23,6
2020-03,Tuerkei,163,478,432,46,951,54,436,1,2,365,93,5470,253,53,436,1,1,349,67,1,0,0,1,16,24,2
2020-04,Tuerkei,163,398,369,29,589,42,302,0,2,193,50,5360,259,39,296,0,2,183,32,3,6,0,0,10,12,6
2020-05,Tuerkei,163,252,223,29,1212,38,365,5,3,693,108,4519,229,36,353,2,2,665,81,2,12,3,1,28,21,6
2020-06,Tuerkei,163,298,258,40,1178,89,429,2,7,561,90,3755,227,86,424,2,7,534,62,3,5,0,0,27,24,4
2020-07,Tuerkei,163,391,315,76,933,57,300,2,4,499,71,3335,256,57,294,2,1,478,42,0,6,0,3,21,28,1
2020-08,Tuerkei,163,462,403,59,637,29,207,2,2,308,89,3215,284,29,206,1,1,295,43,0,1,1,1,13,35,11
2020-09,Tuerkei,163,598,553,45,629,32,210,1,2,298,86,3276,282,31,208,1,2,283,41,1,2,0,0,15,42,3
2020-10,Tuerkei,163,530,466,64,600,12,200,2,2,310,74,3298,294,12,186,2,1,290,37,0,14,0,1,20,32,5
2020-11,Tuerkei,163,492,440,52,651,34,178,4,4,336,95,3237,291,34,172,4,4,313,54,0,6,0,0,23,38,3
2020-12,Tuerkei,163,456,364,92,592,22,208,2,5,278,77,3164,345,21,206,2,3,260,44,1,2,0,2,18,30,3
2021-01,Tuerkei,163,441,402,39,613,16,176,3,2,313,103,3101,330,16,168,2,2,299,50,0,8,1,0,14,49,4
2021-02,Tuerkei,163,388,332,56,708,37,207,4,1,378,81,2858,343,37,203,4,1,361,45,0,4,0,0,17,31,5
2021-03,Tuerkei,163,386,310,76,643,10,159,1,0,365,108,2665,367,10,152,1,0,349,50,0,7,0,0,16,50,8
2021-04,Tuerkei,163,246,201,45,464,16,124,0,0,246,78,2517,377,15,117,0,0,237,37,1,7,0,0,9,34,7
2021-05,Tuerkei,163,277,229,48,504,21,122,1,2,271,87,2403,372,20,115,1,1,253,28,1,7,0,1,18,52,7
2021-06,Tuerkei,163,470,412,58,442,12,132,4,3,193,98,2553,348,10,117,4,3,172,38,2,15,0,0,21,53,7
2021-07,Tuerkei,163,623,576,47,507,16,151,6,2,244,88,2749,330,16,149,6,1,224,30,0,2,0,1,20,54,4
2021-08,Tuerkei,163,939,898,41,457,23,174,3,2,195,60,3306,317,20,171,3,1,175,22,3,3,0,1,20,33,5
2021-09,Tuerkei,163,1028,946,82,574,18,211,5,1,258,81,3835,348,17,200,5,1,246,38,1,11,0,0,12,39,4
2021-10,Tuerkei,163,738,712,26,611,24,246,2,3,271,65,4058,340,23,237,2,2,259,42,1,9,0,1,12,21,2
2021-11,Tuerkei,163,841,764,77,677,27,281,5,0,279,85,4300,347,25,268,2,0,259,36,2,13,3,0,20,41,8
