YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,58,534,8,4,473
2020-02,43,338,2,1,405
2020-03,54,436,1,2,365
2020-04,42,302,0,2,193
2020-05,38,365,5,3,693
2020-06,89,429,2,7,561
2020-07,57,300,2,4,499
2020-08,29,207,2,2,308
2020-09,32,210,1,2,298
2020-10,12,200,2,2,310
2020-11,34,178,4,4,336
2020-12,22,208,2,5,278
2021-01,16,176,3,2,313
2021-02,37,207,4,1,378
2021-03,10,159,1,0,365
2021-04,16,124,0,0,246
2021-05,21,122,1,2,271
2021-06,12,132,4,3,193
2021-07,16,151,6,2,244
2021-08,23,174,3,2,195
2021-09,18,211,5,1,258
2021-10,24,246,2,3,271
2021-11,27,281,5,0,279
