YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2020-01,8,164,31,2,61,98
2020-02,5,190,29,5,64,87
2020-03,3,189,17,5,66,77
2020-04,4,100,7,3,29,28
2020-05,5,170,20,16,106,88
2020-06,10,149,35,7,80,56
2020-07,5,168,25,7,81,86
2020-08,11,165,30,11,48,84
2020-10,13,247,34,7,57,94
2020-11,17,220,23,12,66,72
2020-12,10,198,17,6,57,39
2021-01,16,163,21,5,57,72
2021-03,2,158,27,6,53,240
2021-04,2,143,23,4,35,278
2021-05,10,140,18,6,42,78
2021-06,2,181,37,5,35,85
2021-07,8,237,29,5,43,55
2021-08,14,226,34,4,40,59
2021-11,13,143,27,9,43,71
