YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,8,164,31,2,61
2020-02,5,190,29,5,64
2020-03,3,189,17,5,66
2020-04,4,100,7,3,29
2020-05,5,170,20,16,106
2020-06,10,149,35,7,80
2020-07,5,168,25,7,81
2020-08,11,165,30,11,48
2020-10,13,247,34,7,57
2020-11,17,220,23,12,66
2020-12,10,198,17,6,57
2021-01,16,163,21,5,57
2021-03,2,158,27,6,53
2021-04,2,143,23,4,35
2021-05,10,140,18,6,42
2021-06,2,181,37,5,35
2021-07,8,237,29,5,43
2021-08,14,226,34,4,40
2021-11,13,143,27,9,43
