YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2020-01,Venezuela,367,136,136,0,100,21,7,0,36,36,0,679,5,21,7,0,36,36,0,0,0,0,0,0,0,0
2020-02,Venezuela,367,132,132,0,184,5,0,0,54,124,1,632,5,5,0,0,54,124,1,0,0,0,0,0,0,0
2020-03,Venezuela,367,70,68,2,151,14,4,2,35,89,7,549,5,14,4,2,34,89,6,0,0,0,1,0,1,0
2020-04,Venezuela,367,55,55,0,35,2,1,3,6,22,1,572,5,2,1,3,6,22,0,0,0,0,0,0,1,0
2020-05,Venezuela,367,53,49,4,162,2,5,0,28,127,0,461,7,2,5,0,28,127,0,0,0,0,0,0,0,0
2020-06,Venezuela,367,31,31,0,105,5,2,2,28,67,1,400,6,4,2,2,28,67,0,1,0,0,0,0,1,0
2020-07,Venezuela,367,33,29,4,67,5,3,0,27,30,2,359,7,4,3,0,26,30,1,1,0,0,1,0,0,1
2020-08,Venezuela,367,8,8,0,68,7,5,3,26,23,4,305,4,7,5,3,25,23,0,0,0,0,1,0,4,0
2020-09,Venezuela,367,9,9,0,80,1,2,1,44,28,4,238,3,1,2,1,44,27,3,0,0,0,0,1,1,0
2020-10,Venezuela,367,5,5,0,73,5,0,0,36,27,5,169,3,5,0,0,35,27,3,0,0,0,1,0,0,2
2020-11,Venezuela,367,16,12,4,94,5,2,2,40,42,3,88,1,5,2,2,37,42,0,0,0,0,3,0,3,0
2020-12,Venezuela,367,18,18,0,41,8,5,0,6,21,1,65,1,8,5,0,6,21,1,0,0,0,0,0,0,0
2021-01,Venezuela,367,17,17,0,27,3,1,2,8,11,2,56,2,3,1,2,8,11,2,0,0,0,0,0,0,0
2021-02,Venezuela,367,13,13,0,29,2,0,0,10,13,4,42,0,2,0,0,10,13,2,0,0,0,0,0,1,1
2021-03,Venezuela,367,28,23,5,8,0,0,0,3,3,2,57,4,0,0,0,3,3,2,0,0,0,0,0,0,0
2021-04,Venezuela,367,9,9,0,21,4,0,0,7,9,1,49,1,1,0,0,7,9,1,3,0,0,0,0,0,0
2021-05,Venezuela,367,21,19,2,17,6,0,0,4,5,2,52,3,3,0,0,4,5,2,3,0,0,0,0,0,0
2021-06,Venezuela,367,18,14,4,27,0,4,0,6,8,9,37,5,0,4,0,6,8,7,0,0,0,0,0,2,0
2021-07,Venezuela,367,14,13,1,22,7,2,0,5,7,1,33,4,5,0,0,5,7,1,2,2,0,0,0,0,0
2021-08,Venezuela,367,26,26,0,13,1,1,0,1,7,3,49,1,0,1,0,1,7,1,1,0,0,0,0,2,0
2021-09,Venezuela,367,70,67,3,13,1,1,0,6,3,2,106,3,1,1,0,6,3,2,0,0,0,0,0,0,0
2021-10,Venezuela,367,59,51,8,43,1,1,1,13,17,10,119,9,1,1,1,13,17,7,0,0,0,0,0,3,0
2021-11,Venezuela,367,70,67,3,28,1,0,1,9,15,2,160,12,1,0,1,9,15,2,0,0,0,0,0,0,0
