YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2020-01,Weissrussland,169,14,14,0,17,0,0,0,0,0,17,32,6,0,0,0,0,0,13,0,0,0,0,0,1,3
2020-02,Weissrussland,169,21,21,0,14,0,0,0,0,5,9,41,5,0,0,0,0,3,9,0,0,0,0,2,0,0
2020-03,Weissrussland,169,24,23,1,22,0,0,0,0,0,22,42,6,0,0,0,0,0,22,0,0,0,0,0,0,0
2020-04,Weissrussland,169,10,7,3,0,0,0,0,0,0,0,50,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05,Weissrussland,169,4,2,2,21,0,0,0,0,4,17,33,9,0,0,0,0,4,15,0,0,0,0,0,0,2
2020-06,Weissrussland,169,3,0,3,18,0,0,0,0,1,17,20,8,0,0,0,0,0,13,0,0,0,0,1,1,3
2020-07,Weissrussland,169,9,6,3,11,0,0,0,0,2,9,23,6,0,0,0,0,2,3,0,0,0,0,0,4,2
2020-08,Weissrussland,169,4,3,1,6,0,0,3,0,1,2,22,4,0,0,3,0,1,0,0,0,0,0,0,0,2
2020-09,Weissrussland,169,7,4,3,17,0,0,0,0,12,5,12,5,0,0,0,0,11,3,0,0,0,0,1,2,0
2020-10,Weissrussland,169,8,7,1,3,0,0,0,0,1,2,19,4,0,0,0,0,0,0,0,0,0,0,1,2,0
2020-11,Weissrussland,169,10,9,1,13,0,0,0,0,4,9,21,3,0,0,0,0,4,5,0,0,0,0,0,0,4
2020-12,Weissrussland,169,50,44,6,14,0,0,0,0,2,12,57,6,0,0,0,0,1,10,0,0,0,0,1,1,1
2021-01,Weissrussland,169,23,20,3,25,0,0,0,0,3,22,60,8,0,0,0,0,2,21,0,0,0,0,1,1,0
2021-02,Weissrussland,169,17,14,3,26,0,0,0,0,6,20,53,9,0,0,0,0,5,18,0,0,0,0,1,2,0
2021-03,Weissrussland,169,19,15,4,18,0,0,0,0,2,16,55,11,0,0,0,0,1,15,0,0,0,0,1,1,0
2021-04,Weissrussland,169,5,1,4,19,0,1,0,0,4,14,44,15,0,1,0,0,4,12,0,0,0,0,0,1,1
2021-05,Weissrussland,169,8,8,0,4,0,0,0,0,1,3,49,12,0,0,0,0,0,2,0,0,0,0,1,0,1
2021-06,Weissrussland,169,23,21,2,15,0,0,0,0,7,8,62,9,0,0,0,0,6,4,0,0,0,0,1,3,1
2021-07,Weissrussland,169,19,16,3,14,0,0,0,0,3,11,65,12,0,0,0,0,3,10,0,0,0,0,0,1,0
2021-08,Weissrussland,169,26,25,1,24,0,0,1,1,4,18,88,7,0,0,1,1,4,11,0,0,0,0,0,1,6
2021-09,Weissrussland,169,25,13,12,19,0,0,0,0,2,17,85,18,0,0,0,0,0,15,0,0,0,0,2,1,1
2021-10,Weissrussland,169,33,31,2,18,0,0,3,0,1,14,105,14,0,0,3,0,1,8,0,0,0,0,0,0,6
2021-11,Weissrussland,169,21,20,1,22,0,0,0,0,6,16,107,14,0,0,0,0,6,15,0,0,0,0,0,0,1
