YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2020-01,0,0,0,0,0,17
2020-02,0,0,0,0,5,9
2020-03,0,0,0,0,0,22
2020-04,0,0,0,0,0,0
2020-05,0,0,0,0,4,17
2020-06,0,0,0,0,1,17
2020-07,0,0,0,0,2,9
2020-08,0,0,3,0,1,2
2020-09,0,0,0,0,12,5
2020-10,0,0,0,0,1,2
2020-11,0,0,0,0,4,9
2020-12,0,0,0,0,2,12
2021-01,0,0,0,0,3,22
2021-02,0,0,0,0,6,20
2021-03,0,0,0,0,2,16
2021-04,0,1,0,0,4,14
2021-05,0,0,0,0,1,3
2021-06,0,0,0,0,7,8
2021-07,0,0,0,0,3,11
2021-08,0,0,1,1,4,18
2021-09,0,0,0,0,2,17
2021-10,0,0,3,0,1,14
2021-11,0,0,0,0,6,16
