YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2015-01,0,10,1,0,7,10
2015-02,0,2,1,4,9,14
2015-03,0,6,0,0,2,15
2015-04,0,1,1,1,9,13
2015-05,0,4,0,0,4,26
2015-06,0,3,0,2,1,37
2015-07,0,4,0,3,8,16
2015-08,0,9,2,0,2,14
2015-09,0,5,0,7,3,12
2015-10,0,5,1,5,11,31
2015-11,0,5,1,3,12,22
2015-12,0,5,5,1,21,22
2016-01,0,5,0,3,13,21
2016-02,1,11,0,5,28,30
2016-03,0,6,2,6,30,15
2016-04,0,7,0,8,85,14
2016-05,0,15,1,6,78,7
2016-06,0,8,0,5,47,33
2016-07,1,9,1,2,40,27
2016-08,1,16,1,5,83,22
2016-09,0,2,0,6,33,20
2016-10,0,6,2,9,50,29
2016-11,0,23,1,6,128,71
2016-12,4,45,2,17,148,156
2017-01,2,65,15,27,152,282
2017-02,1,101,32,40,423,225
2017-03,3,122,16,53,704,154
2017-04,1,104,18,56,630,94
2017-05,3,198,38,123,1426,110
2017-06,0,83,16,65,519,57
2017-07,1,90,16,69,531,97
2017-08,1,93,7,52,438,93
2017-09,0,51,10,49,320,73
2017-10,1,55,7,46,266,66
2017-11,2,52,8,47,230,83
2017-12,0,46,5,32,130,38
2018-01,0,35,3,26,145,74
2018-02,0,26,8,30,120,33
2018-03,1,15,5,27,132,57
2018-04,0,23,6,15,109,47
