YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2017-01,2,65,15,27,152
2017-02,1,101,32,40,423
2017-03,3,122,16,53,704
2017-04,1,104,18,56,630
2017-06,0,83,16,65,519
2017-07,1,90,16,69,531
2017-08,1,93,7,52,438
2017-09,0,51,10,49,320
2017-10,1,55,7,46,266
2017-11,2,52,8,47,230
2017-12,0,46,5,32,130
2018-01,0,35,3,26,145
2018-02,0,26,8,30,120
2018-03,1,15,5,27,132
2018-04,0,23,6,15,109
2018-05,0,14,5,6,89
2018-06,0,4,1,10,64
2018-07,0,5,2,6,67
2018-08,0,26,1,12,84
2018-09,0,18,1,11,79
2018-10,0,14,2,13,68
2018-11,0,14,1,14,83
