YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2017-01,6,2461,902,3012,6658,1068
2017-02,21,2575,944,3317,7748,1011
2017-03,21,3108,1103,4316,10251,1072
2017-04,10,2229,814,3489,7763,691
201705,10,2914,1232,4405,9944,844
2017-06,5,469,229,751,1435,323
2017-07,0,138,38,27,17,366
2017-08,6,609,214,857,1270,466
2017-09,19,1187,537,2321,4273,667
2017-10,3,931,390,1751,3327,575
2017-11,2,742,333,1337,2490,695
2017-12,0,448,155,759,1676,453
2018-01,2,435,137,741,1596,547
2018-02,2,263,91,458,812,485
2018-03,5,247,99,431,742,623
2018-04,4,218,70,370,608,495
2018-05,1,110,29,290,444,563
2018-06,4,79,35,201,410,483
2018-07,0,75,42,200,297,364
2018-08,1,183,48,212,308,472
2018-09,8,157,72,250,314,433
2018-10,5,216,71,269,323,447
2018-11,2,164,84,261,351,430
