YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2018-01,2,435,137,741,1596
2018-02,2,263,91,458,812
2018-03,5,247,99,431,742
2018-04,4,218,70,370,608
2018-05,1,110,29,290,444
2018-06,4,79,35,201,410
2018-07,0,75,42,200,297
2018-08,1,183,48,212,308
2018-09,8,157,72,250,314
2018-10,5,216,71,269,323
2018-11,2,164,84,261,351
2018-12,0,101,40,171,196
2019-01,4,190,70,307,375
2019-02,4,178,49,253,279
2019-03,7,183,45,197,260
2019-04,2,172,49,191,206
2019-05,3,164,44,239,231
2019-06,2,116,32,158,208
2019-07,2,148,32,149,205
2019-08,7,107,22,188,167
2019-09,0,96,32,200,185
2019-10,2,106,34,176,177
2019-11,0,144,42,176,219
