YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2018-01,0,0,0,3,240,182
2018-02,0,2,1,6,168,126
2018-03,0,0,4,1,184,139
2018-04,0,0,0,1,125,112
2018-05,0,0,1,2,163,95
2018-06,0,0,0,1,145,85
2018-07,0,0,0,0,105,99
2018-08,0,0,0,2,125,124
2018-09,1,4,1,6,126,93
2018-10,0,0,0,0,168,113
2018-11,0,0,0,0,142,135
2018-12,0,0,1,3,92,123
2019-01,0,0,2,1,270,144
2019-02,0,0,1,0,162,89
2019-03,0,1,0,0,124,98
2019-04,0,0,1,0,131,101
2019-05,0,0,0,0,109,89
2019-06,0,1,0,0,82,66
2019-07,0,0,5,1,111,99
2019-08,0,0,3,0,118,95
