YEAR_MONTH,Herkunftsland,LS,,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
201501,Algerien,221,"",153,139,14,110,0,1,0,0,41,68,2121,127,0,1,0,0,40,61,0,0,0,0,1,3,4
201502,Algerien,221,"",116,103,13,84,0,0,0,1,15,68,2141,142,0,0,0,1,15,62,0,0,0,0,0,2,4
201503,Algerien,221,"",205,185,20,75,0,0,0,0,22,53,2267,154,0,0,0,0,22,45,0,0,0,0,0,2,6
201504,Algerien,221,"",224,208,16,82,0,0,0,0,18,64,2402,167,0,0,0,0,18,55,0,0,0,0,0,1,8
201505,Algerien,221,"",280,257,23,79,1,1,0,0,21,56,2596,182,1,1,0,0,21,46,0,0,0,0,0,3,7
201506,Algerien,221,"",320,305,15,101,0,0,0,0,20,81,2799,191,0,0,0,0,19,73,0,0,0,0,1,1,7
201507,Algerien,221,"",140,120,20,117,0,0,2,1,25,89,2820,204,0,0,2,1,25,78,0,0,0,0,0,4,7
201508,Algerien,221,"",163,155,8,71,0,0,1,1,14,55,2921,207,0,0,1,1,14,50,0,0,0,0,0,0,5
201509,Algerien,221,"",146,132,14,93,0,2,1,0,19,71,2976,216,0,2,1,0,19,66,0,0,0,0,0,2,3
201510,Algerien,221,"",179,170,9,95,0,0,0,0,34,61,3084,219,0,0,0,0,33,51,0,0,0,0,1,1,9
201511,Algerien,221,"",159,145,14,127,1,2,0,0,46,78,3125,226,0,2,0,0,44,72,1,0,0,0,2,4,2
201512,Algerien,221,"",84,70,14,103,0,3,0,0,62,38,3114,230,0,3,0,0,61,27,0,0,0,0,1,3,8
201601,Algerien,221,"",179,162,17,86,0,0,0,0,59,27,3206,240,0,0,0,0,56,23,0,0,0,0,3,2,2
201602,Algerien,221,"",556,548,8,424,0,1,1,4,346,72,3329,239,0,1,1,4,344,63,0,0,0,0,2,3,6
201603,Algerien,221,"",205,194,11,1263,0,5,0,15,935,308,2309,184,0,5,0,15,922,257,0,0,0,0,13,38,13
201604,Algerien,221,"",332,321,11,884,0,0,0,4,425,455,1723,158,0,0,0,3,416,421,0,0,0,1,9,17,17
201605,Algerien,221,"",200,191,9,534,1,5,5,4,268,251,1399,145,1,5,5,4,260,233,0,0,0,0,8,10,8
