YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
201601,Aserbaidschan,425,87,78,9,28,0,0,0,3,14,11,2687,300,0,0,0,0,13,6,0,0,0,3,1,5,0
201602,Aserbaidschan,425,96,85,11,54,0,4,0,2,38,10,2734,301,0,0,0,2,33,9,0,4,0,0,5,1,0
201603,Aserbaidschan,425,116,99,17,24,0,0,0,0,11,13,2827,313,0,0,0,0,7,12,0,0,0,0,4,1,0
201604,Aserbaidschan,425,188,179,9,43,0,0,0,1,20,22,2967,323,0,0,0,0,19,20,0,0,0,1,1,2,0
201605,Aserbaidschan,425,166,158,8,66,0,4,0,0,38,24,3091,321,0,4,0,0,37,15,0,0,0,0,1,8,1
201606,Aserbaidschan,425,413,385,28,121,1,11,0,6,60,43,3379,344,1,11,0,6,58,38,0,0,0,0,2,5,0
201607,Aserbaidschan,425,358,344,14,82,0,1,0,5,56,20,3656,352,0,1,0,5,55,16,0,0,0,0,1,1,3
201608,Aserbaidschan,425,659,647,12,133,0,2,0,6,81,44,4234,353,0,1,0,4,81,38,0,1,0,2,0,2,4
201609,Aserbaidschan,425,851,840,11,132,1,4,8,0,89,30,4992,358,1,4,8,0,88,23,0,0,0,0,1,1,6
201610,Aserbaidschan,425,712,705,7,161,9,8,1,1,78,64,5577,353,9,8,1,1,74,51,0,0,0,0,4,9,4
201611,Aserbaidschan,425,469,451,18,1035,23,105,42,30,662,173,5045,335,23,103,41,30,653,149,0,2,1,0,9,17,7
201612,Aserbaidschan,425,493,471,22,859,20,95,33,33,577,101,4706,323,19,91,32,33,561,87,1,4,1,0,16,5,9
201701,Aserbaidschan,425,494,474,20,642,4,44,19,14,345,216,4573,314,4,44,19,14,336,193,0,0,0,0,9,14,9
201702,Aserbaidschan,425,237,223,14,781,9,45,35,15,406,271,4072,296,9,45,34,15,394,253,0,0,1,0,12,14,4
201703,Aserbaidschan,425,337,310,27,818,6,61,16,14,395,326,3644,290,6,61,16,14,387,294,0,0,0,0,8,25,7
201704,Aserbaidschan,425,192,179,13,685,8,60,16,31,415,155,3221,254,8,59,16,26,394,125,0,1,0,5,21,24,6
201705,Aserbaidschan,425,205,175,30,1144,11,131,38,25,753,186,2370,210,11,127,38,22,721,157,0,4,0,3,32,20,9
201706,Aserbaidschan,425,207,191,16,450,3,35,9,15,280,108,2178,183,3,35,9,13,262,88,0,0,0,2,18,16,4
201707,Aserbaidschan,425,279,248,31,616,1,27,5,15,438,130,1911,169,1,27,5,15,415,104,0,0,0,0,23,24,2
201708,Aserbaidschan,425,345,304,41,510,4,38,13,20,306,129,1769,170,4,36,13,19,288,103,0,2,0,1,18,11,15
201709,Aserbaidschan,425,247,187,60,414,0,24,1,8,236,145,1659,181,0,23,1,3,223,106,0,1,0,5,13,36,3
201710,Aserbaidschan,425,280,239,41,503,7,20,6,3,285,182,1490,163,6,20,6,2,273,134,1,0,0,1,12,32,16
201711,Aserbaidschan,425,266,226,40,559,9,37,12,7,300,194,1266,140,9,29,12,5,286,158,0,8,0,2,14,30,6
