YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2018-01,5,17,2,22,285,204
2018-02,0,13,5,5,236,129
2018-03,2,20,8,3,200,154
2018-04,0,11,2,6,133,100
2018-05,0,11,0,2,85,121
2018-06,0,3,0,0,86,121
2018-07,0,6,0,5,67,115
2018-08,0,6,0,3,112,129
2018-09,2,6,3,1,89,82
2018-10,2,1,0,3,153,158
2018-11,8,11,3,6,156,111
2018-12,1,8,1,1,108,55
2019-01,2,5,2,0,114,82
2019-02,0,9,8,1,164,104
2019-03,0,13,3,2,124,101
2019-04,1,6,0,2,136,71
2019-05,0,7,2,1,143,107
2019-06,3,6,0,1,87,98
2019-07,0,1,0,1,58,64
2019-08,0,0,0,0,80,103
2019-09,0,1,4,0,90,93
2019-10,0,4,1,2,63,72
2019-11,0,0,4,3,55,65
