YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
201501,0,0,0,2,587,345
201502,0,1,0,0,432,330
201503,0,0,0,2,306,287
201504,0,0,0,0,188,310
201505,0,0,0,2,184,219
201506,0,0,0,0,199,291
201507,0,0,0,1,185,269
201508,0,0,0,0,102,149
201509,0,0,0,4,285,231
201510,0,0,0,0,321,220
201511,0,0,0,1,177,225
201512,0,0,0,0,393,273
201601,0,0,0,6,559,356
201602,0,0,0,1,448,380
201603,0,0,6,1,657,342
201604,0,0,0,7,404,321
201605,0,0,0,5,322,292
