YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
201601,0,0,1,0,17,7
201602,0,6,1,1,8,6
201603,1,2,1,0,13,3
201604,1,3,0,0,12,10
201605,1,5,0,0,19,6
201606,1,2,0,0,11,9
201607,4,3,3,1,47,14
201608,1,2,2,0,57,7
201609,0,5,1,1,36,6
201610,5,4,3,3,35,21
201611,2,5,0,1,37,22
201612,2,26,7,2,102,83
201701,4,18,5,3,260,107
201702,17,25,2,2,175,57
201703,12,12,3,3,121,67
201704,8,10,4,1,105,52
201705,14,10,8,4,142,46
201706,4,8,0,0,57,26
201707,3,15,0,0,70,34
201708,0,12,1,0,60,46
