YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
201601,0,0,1,0,17,7
201601,0,0,0,0,0,0
201602,0,6,1,1,8,6
201602,0,0,0,0,0,0
201603,1,2,1,0,13,3
201603,0,0,0,0,0,0
201604,1,3,0,0,12,10
201604,0,0,0,0,0,0
201605,1,5,0,0,19,6
201605,0,0,0,0,0,0
201606,1,2,0,0,11,9
201606,0,0,0,0,0,0
201607,4,3,3,1,47,14
201607,0,0,0,0,0,0
201608,1,2,2,0,57,7
201608,0,0,0,0,0,0
201609,0,5,1,1,36,6
201609,0,0,0,0,0,0
201610,5,4,3,3,35,21
201610,0,0,0,0,0,0
201611,2,5,0,1,37,22
201611,0,0,0,0,0,0
201612,2,26,7,2,102,83
201612,0,0,0,0,2,2
201701,4,18,5,3,260,107
201701,0,0,0,0,1,0
201702,17,25,2,2,175,57
201702,0,0,0,0,1,0
201703,12,12,3,3,121,67
201703,0,0,0,0,1,1
201704,8,10,4,1,105,52
201704,0,0,0,0,0,0
201705,14,10,8,4,142,46
201705,0,0,0,0,1,0
201706,4,8,0,0,57,26
201706,0,0,0,0,0,0
201707,3,15,0,0,70,34
201707,0,0,0,0,0,1
201707,0,0,0,0,0,1
201708,0,12,1,0,60,46
201708,0,0,0,0,0,0
201709,2,6,1,1,54,46
201709,0,0,0,0,0,0
201709,0,0,0,0,0,0
201710,1,5,0,4,27,43
201710,0,0,0,0,0,0
201710,0,0,0,0,1,0
