YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
201501,0,179,45,3,4,82
201502,3,260,18,5,1,84
201503,2,225,15,5,5,107
201504,1,119,26,4,3,122
201505,1,215,12,2,3,80
201506,3,406,15,2,3,95
201507,2,492,10,6,5,52
201508,1,508,7,3,0,22
201509,1,521,148,1,2,44
201510,2,1071,29,6,4,69
201511,15,2578,12,1,5,68
201512,14,2300,9,0,5,46
201601,22,1857,10,1,6,38
201602,19,2162,8,1,19,82
201603,24,1563,14,2,20,42
201604,9,1276,65,2,18,89
201605,7,1241,91,5,4,88
201606,7,1502,126,10,2,114
201607,2,1097,261,5,3,101
201608,1,1267,471,2,2,163
201609,0,955,535,14,2,142
201610,5,1083,701,17,10,136
201611,12,1048,628,30,14,293
201612,13,1461,737,31,39,385
