YEAR_MONTH,Herkunftsland,LS,,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
201501,Gambia,237,"",215,212,3,66,0,0,0,1,9,56,2068,36,0,0,0,1,9,56,0,0,0,0,0,0,0
201502,Gambia,237,"",181,171,10,106,0,0,0,1,6,99,2145,47,0,0,0,1,6,99,0,0,0,0,0,0,0
201503,Gambia,237,"",119,103,16,59,0,1,0,0,4,54,2202,63,0,1,0,0,4,54,0,0,0,0,0,0,0
201504,Gambia,237,"",157,155,2,115,0,0,0,1,1,113,2269,65,0,0,0,1,1,112,0,0,0,0,0,0,1
201505,Gambia,237,"",218,203,15,25,0,1,0,0,2,22,2462,79,0,1,0,0,2,20,0,0,0,0,0,0,2
201506,Gambia,237,"",395,385,10,61,0,0,0,0,9,52,2801,89,0,0,0,0,9,52,0,0,0,0,0,0,0
201507,Gambia,237,"",183,176,7,55,0,0,0,0,4,51,2946,96,0,0,0,0,3,50,0,0,0,0,1,0,1
201508,Gambia,237,"",520,510,10,9,0,0,0,0,1,8,3462,104,0,0,0,0,1,7,0,0,0,0,0,1,0
201509,Gambia,237,"",286,280,6,27,0,2,0,2,3,20,3752,110,0,2,0,2,3,20,0,0,0,0,0,0,0
201510,Gambia,237,"",510,496,14,34,0,2,0,1,4,27,4081,122,0,2,0,1,4,25,0,0,0,0,0,0,2
201511,Gambia,237,"",211,203,8,50,2,2,0,0,8,38,4273,126,2,2,0,0,8,32,0,0,0,0,0,0,6
201512,Gambia,237,"",75,64,11,20,0,0,0,0,3,17,4385,137,0,0,0,0,3,16,0,0,0,0,0,0,1
201601,Gambia,237,"",97,91,6,62,2,0,0,1,10,49,4452,137,2,0,0,1,10,43,0,0,0,0,0,1,5
201602,Gambia,237,"",162,155,7,74,0,4,0,0,17,53,4575,144,0,4,0,0,17,49,0,0,0,0,0,1,3
201603,Gambia,237,"",306,302,4,38,0,2,0,2,7,27,4884,144,0,0,0,2,7,25,0,2,0,0,0,1,1
201604,Gambia,237,"",371,363,8,41,0,1,0,0,12,28,5249,149,0,1,0,0,12,25,0,0,0,0,0,0,3
201605,Gambia,237,"",449,432,17,39,0,0,2,1,9,27,5739,160,0,0,2,1,9,21,0,0,0,0,0,1,5
