YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
201601,2,0,0,1,10,49
201602,0,4,0,0,17,53
201603,0,2,0,2,7,27
201604,0,1,0,0,12,28
201605,0,0,2,1,9,27
201606,0,2,0,2,18,27
201607,0,3,0,2,30,23
201608,0,7,2,0,62,31
201609,0,3,2,1,53,26
201610,0,4,1,7,48,27
201611,0,8,3,5,122,63
201612,1,6,0,0,162,147
201701,1,10,4,6,227,277
201702,0,14,2,3,325,296
201703,0,29,8,8,501,298
201704,0,16,3,22,398,318
201705,1,37,5,22,928,374
201706,0,7,3,11,573,258
201707,0,11,6,15,521,266
201708,0,14,3,15,696,365
201709,1,16,3,15,401,248
201710,1,14,1,22,473,279
201711,1,29,2,19,418,240
