YEAR_MONTH,Herkunftsland,LS,,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
201501,Georgien,430,"",291,264,27,199,0,0,0,1,86,112,2587,227,0,0,0,1,83,91,0,0,0,0,3,5,16
201502,Georgien,430,"",227,204,23,191,0,0,0,1,89,101,2605,260,0,0,0,1,88,78,0,0,0,0,1,2,21
201503,Georgien,430,"",266,242,24,229,0,0,0,0,147,82,2640,282,0,0,0,0,143,64,0,0,0,0,4,2,16
201504,Georgien,430,"",276,244,32,267,0,0,0,1,163,103,2632,318,0,0,0,1,160,55,0,0,0,0,3,14,34
201505,Georgien,430,"",269,229,40,230,0,0,0,0,129,101,2673,329,0,0,0,0,125,59,0,0,0,0,4,5,37
201506,Georgien,430,"",433,394,39,234,0,0,0,0,141,93,2865,354,0,0,0,0,136,64,0,0,0,0,5,17,12
201507,Georgien,430,"",244,215,29,215,0,0,0,0,116,99,2898,373,0,0,0,0,114,86,0,0,0,0,2,5,8
201508,Georgien,430,"",186,162,24,72,0,0,0,0,28,44,3020,388,0,0,0,0,25,33,0,0,0,0,3,3,8
201509,Georgien,430,"",266,246,20,187,0,0,0,0,113,74,3130,388,0,0,0,0,111,55,0,0,0,0,2,10,9
201510,Georgien,430,"",192,167,25,216,0,0,0,2,158,56,3151,396,0,0,0,2,150,39,0,0,0,0,8,6,11
201511,Georgien,430,"",305,284,21,158,0,0,0,1,108,49,3262,404,0,0,0,1,98,34,0,0,0,0,10,5,10
201512,Georgien,430,"",132,108,24,210,0,0,0,1,150,59,3203,411,0,0,0,1,141,34,0,0,0,0,9,21,4
201601,Georgien,430,"",154,124,30,139,0,0,0,3,86,50,3245,414,0,0,0,3,73,32,0,0,0,0,13,13,5
201602,Georgien,430,"",246,200,46,338,0,8,0,0,242,88,3176,431,0,8,0,0,234,61,0,0,0,0,8,18,9
201603,Georgien,430,"",210,192,18,215,0,0,0,1,133,81,3203,422,0,0,0,1,128,46,0,0,0,0,5,22,13
201604,Georgien,430,"",261,236,25,252,0,0,1,3,143,105,3245,417,0,0,1,0,139,71,0,0,0,3,4,18,16
201605,Georgien,430,"",211,192,19,330,1,0,0,0,169,160,3187,402,1,0,0,0,165,119,0,0,0,0,4,7,34
