YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2018-12,0,0,1,0,5
2019-01,3,37,6,9,222
2019-01,0,0,0,1,4
2019-02,0,29,7,6,210
2019-02,0,0,0,1,7
2019-03,2,54,2,14,172
2019-03,0,0,0,1,9
2019-04,5,25,5,10,157
2019-04,0,0,0,1,8
2019-05,1,30,6,15,136
2019-05,0,1,0,0,9
2019-06,1,38,5,11,138
2019-06,0,1,0,0,6
2019-07,5,35,4,14,121
2019-07,0,0,0,0,4
2019-08,1,16,5,11,109
2019-08,0,0,0,3,4
2019-09,3,18,5,8,95
2019-09,0,0,0,1,14
2019-10,1,13,10,6,82
2019-10,0,0,0,0,5
2019-11,3,24,6,12,102
2019-11,0,0,0,0,2
2019-12,3,20,7,4,84
2019-12,0,0,0,1,8
2020-01,3,19,8,10,128
2020-01,0,0,0,1,6
2020-02,3,19,5,10,101
2020-02,0,0,0,3,5
2020-03,4,14,8,4,76
2020-03,0,0,0,0,4
2020-04,0,10,1,4,29
2020-04,0,0,0,1,1
