YEAR_MONTH,Herkunftsland,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen
2017-01,Herkunftslaender gesamt,368665,15858
2017-02,Herkunftslaender gesamt,319026,14789
2017-03,Herkunftslaender gesamt,264947,13059
2017-04,Herkunftslaender gesamt,220487,12006
2017-05,Herkunftslaender gesamt,155120,9979
2017-06,Herkunftslaender gesamt,137274,9277
2017-07,Herkunftslaender gesamt,121277,8190
2017-08,Herkunftslaender gesamt,106544,7658
2017-09,Herkunftslaender gesamt,92351,6983
2017-10,Herkunftslaender gesamt,80628,6559
2017-11,Herkunftslaender gesamt,69761,5899
2017-12,Herkunftslaender gesamt,62766,5479
2018-01,Herkunftslaender gesamt,52842,4851
2018-02,Herkunftslaender gesamt,50792,4487
2018-03,Herkunftslaender gesamt,47607,4361
2018-04,Herkunftslaender gesamt,47212,4286
2018-05,Herkunftslaender gesamt,46247,4126
2018-06,Herkunftslaender gesamt,48166,4348
