YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2017-01,253,16222,13016,4010,24996
2017-02,300,14846,13264,4527,26146
2017-03,303,16350,14870,5519,30201
2017-04,306,12824,10876,4816,24982
2017-05,653,16014,12634,6642,39849
2017-06,363,6910,5330,1781,13876
2017-07,454,7088,6066,1058,13070
2017-08,397,7106,5665,1889,13405
2017-09,298,6058,4474,3126,12824
2017-10,338,5945,4111,2505,12117
2017-11,403,6061,4398,2300,12177
2017-12,295,4136,3452,1525,9236
2018-01,422,4296,3383,1763,11433
2018-02,380,2955,2385,1128,7882
2018-03,270,3105,2405,1156,8098
2018-04,244,3037,2466,916,6759
2018-05,195,2651,1869,700,5768
2018-06,163,1691,1570,487,5227
