YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
201601,16,1663,65,10,57,183
201602,33,2349,83,18,96,292
201603,18,2159,110,14,188,306
201604,26,1938,225,13,245,437
201605,24,1301,235,11,276,356
201606,11,2159,552,18,400,539
201607,16,2772,831,44,933,551
201608,26,3150,1164,43,1727,592
201609,16,4348,1366,34,2393,626
201610,11,3777,1580,28,2340,500
201611,30,4862,2420,123,2914,1037
201612,34,6130,2201,85,2705,1030
201701,31,4721,1746,159,2845,810
201702,26,3544,2149,177,3090,1069
201703,28,3386,2295,196,3669,1028
201704,25,2555,1701,162,2983,687
201705,41,3403,1757,306,3683,973
201706,48,1277,492,94,934,603
201707,44,1442,651,107,1152,762
201708,34,1221,869,110,1039,697
