YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2017-01,31,4721,1746,159,2845
2017-02,26,3544,2149,177,3090
2017-03,28,3386,2295,196,3669
2017-04,25,2555,1701,162,2983
2017-05,41,3403,1757,306,3683
2017-06,48,1277,492,94,934
2017-07,44,1442,651,107,1152
2017-08,34,1221,869,110,1039
2017-09,12,671,604,95,693
2017-10,25,774,658,78,778
2017-11,7,671,830,96,761
2017-12,7,373,556,58,653
2018-01,7,464,191,201,904
2018-02,3,263,113,154,733
2018-03,3,390,112,180,792
2018-04,9,352,72,120,688
2018-05,0,253,27,92,608
2018-06,5,113,30,56,514
