YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2017-01,"Iran, Islamische Republik",439,926,888,38,3999,66,1995,98,46,1431,363,20412,607,66,1975,98,37,1422,337,0,20,0,9,9,19,7
2017-02,"Iran, Islamische Republik",439,763,722,41,3730,62,1917,95,31,1275,350,17536,601,61,1912,95,30,1261,331,1,5,0,1,14,9,10
2017-03,"Iran, Islamische Republik",439,817,767,50,4310,71,2165,89,61,1490,434,14249,511,69,2127,88,53,1471,366,2,38,1,8,19,47,21
2017-04,"Iran, Islamische Republik",439,960,919,41,2937,54,1341,49,37,1091,365,12331,485,54,1325,49,30,1065,341,0,16,0,7,26,16,8
2017-05,"Iran, Islamische Republik",439,766,740,26,3762,71,1615,78,48,1449,501,9525,382,71,1585,78,38,1418,442,0,30,0,10,31,46,13
2017-06,"Iran, Islamische Republik",439,568,541,27,2081,38,782,60,13,801,387,8149,339,38,763,57,10,780,358,0,19,3,3,21,22,7
2017-07,"Iran, Islamische Republik",439,599,579,20,2288,51,868,38,21,846,464,6607,272,49,842,38,15,836,410,2,26,0,6,10,38,16
2017-08,"Iran, Islamische Republik",439,707,632,75,2158,34,868,52,24,809,371,5278,269,34,832,50,18,787,322,0,36,2,6,22,29,20
2017-09,"Iran, Islamische Republik",439,755,707,48,1545,31,628,31,14,494,347,4565,255,31,614,31,13,485,310,0,14,0,1,9,25,12
2017-10,"Iran, Islamische Republik",439,754,709,45,1433,27,481,24,8,591,302,4006,226,26,467,24,6,576,247,1,14,0,2,15,26,29
2017-11,"Iran, Islamische Republik",439,787,725,62,1507,23,542,21,23,629,269,3399,216,23,523,21,16,607,227,0,19,0,7,22,25,17
2017-12,"Iran, Islamische Republik",439,525,469,56,1265,19,388,19,24,517,298,2801,208,19,371,19,22,500,256,0,17,0,2,17,22,20
2018-01,"Iran, Islamische Republik",439,888,823,65,1402,23,354,29,19,595,382,2442,193,23,338,28,12,571,333,0,16,1,7,24,34,15
2018-02,"Iran, Islamische Republik",439,628,560,68,998,36,208,20,8,378,348,2244,189,35,202,20,5,355,288,1,6,0,3,23,45,15
2018-03,"Iran, Islamische Republik",439,646,549,97,1057,16,208,14,8,469,342,2005,196,16,202,12,4,444,282,0,6,2,4,25,40,20
2018-04,"Iran, Islamische Republik",439,928,874,54,897,25,145,11,5,371,340,2230,187,25,142,11,3,364,281,0,3,0,2,7,38,21
2018-05,"Iran, Islamische Republik",439,722,644,78,768,23,114,2,4,338,287,2292,215,22,98,2,2,321,241,1,16,0,2,17,20,26
2018-06,"Iran, Islamische Republik",439,740,669,71,787,12,77,6,8,330,354,2325,230,12,72,5,7,321,306,0,5,1,1,9,28,20
2018-07,"Iran, Islamische Republik",439,862,774,88,719,19,95,7,5,268,325,2522,271,19,94,7,3,260,286,0,1,0,2,8,30,9
2018-08,"Iran, Islamische Republik",439,1208,1119,89,795,10,151,13,3,334,284,3044,285,10,143,13,2,324,227,0,8,0,1,10,39,18
2018-09,"Iran, Islamische Republik",439,1219,1133,86,929,18,181,7,6,434,283,3493,281,18,157,7,5,426,210,0,24,0,1,8,54,19
2018-10,"Iran, Islamische Republik",439,1488,1407,81,1195,37,218,24,3,566,347,3961,282,36,208,24,3,550,277,1,10,0,0,16,53,17
2018-11,"Iran, Islamische Republik",439,1395,1306,89,1330,32,280,16,10,668,324,4224,271,32,260,15,10,654,242,0,20,1,0,14,66,16
2018-12,"Iran, Islamische Republik",439,802,750,52,1015,18,139,25,16,450,367,4116,254,16,128,23,3,442,318,2,11,2,13,8,34,15
2019-01,"Iran, Islamische Republik",439,1006,937,69,1305,13,200,18,6,662,406,3958,262,13,187,17,3,650,350,0,13,1,3,12,38,18
2019-02,"Iran, Islamische Republik",439,737,652,85,1254,42,206,19,5,661,321,3564,255,41,190,19,2,642,248,1,16,0,3,19,38,35
2019-03,"Iran, Islamische Republik",439,667,591,76,1094,34,204,13,1,548,294,3305,262,34,193,13,0,536,224,0,11,0,1,12,42,28
2019-04,"Iran, Islamische Republik",439,827,742,85,878,20,155,9,4,463,227,3369,290,20,134,9,3,449,189,0,21,0,1,14,22,16
2019-05,"Iran, Islamische Republik",439,978,867,111,841,24,113,11,2,466,225,3550,348,23,97,10,2,459,181,1,16,1,0,7,26,18
2019-06,"Iran, Islamische Republik",439,631,546,85,710,17,96,3,5,324,265,3533,369,17,84,2,1,320,209,0,12,1,4,4,43,13
2019-07,"Iran, Islamische Republik",439,841,740,101,978,19,143,11,1,480,324,3524,359,19,121,11,1,464,246,0,22,0,0,16,56,22
2019-08,"Iran, Islamische Republik",439,806,717,89,725,25,107,4,6,345,238,3685,360,25,100,4,2,331,157,0,7,0,4,14,61,20
2019-09,"Iran, Islamische Republik",439,875,765,110,692,11,111,8,9,323,230,3927,399,11,103,8,8,302,167,0,8,0,1,21,38,25
2019-10,"Iran, Islamische Republik",439,765,684,81,699,8,78,4,2,345,262,4080,393,8,71,4,1,329,192,0,7,0,1,16,51,19
2019-11,"Iran, Islamische Republik",439,749,664,85,776,20,135,15,10,345,251,4162,413,18,127,12,6,330,196,2,8,3,4,15,29,26
