YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2017-01,66,1995,98,46,1431,363
2017-02,62,1917,95,31,1275,350
2017-03,71,2165,89,61,1490,434
2017-04,54,1341,49,37,1091,365
2017-05,71,1615,78,48,1449,501
2017-06,38,782,60,13,801,387
2017-07,51,868,38,21,846,464
2017-08,34,868,52,24,809,371
2017-09,31,628,31,14,494,347
2017-10,27,481,24,8,591,302
2017-11,23,542,21,23,629,269
2017-12,19,388,19,24,517,298
2018-01,23,354,29,19,595,382
2018-02,36,208,20,8,378,348
2018-03,16,208,14,8,469,342
2018-04,25,145,11,5,371,340
2018-05,23,114,2,4,338,287
2018-06,12,77,6,8,330,354
