YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2018-01,23,354,29,19,595
2018-02,36,208,20,8,378
2018-03,16,208,14,8,469
2018-04,25,145,11,5,371
2018-05,23,114,2,4,338
2018-06,12,77,6,8,330
2018-07,19,95,7,5,268
2018-08,10,151,13,3,334
2018-09,18,181,7,6,434
2018-10,37,218,24,3,566
2018-11,32,280,16,10,668
2018-12,18,139,25,16,450
2019-01,13,200,18,6,662
2019-02,42,206,19,5,661
2019-03,34,204,13,1,548
2019-04,20,155,9,4,463
2019-05,24,113,11,2,466
2019-06,17,96,3,5,324
2019-07,19,143,11,1,480
2019-08,25,107,4,6,345
