YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2018-01,0,8,33,2,0,19
2018-02,1,3,20,1,0,33
2018-03,2,6,41,1,3,65
2018-04,0,5,63,0,1,32
2018-05,1,5,30,0,0,32
2018-06,1,2,35,0,2,22
2018-07,0,3,28,3,4,19
2018-08,1,14,48,2,5,15
2018-09,4,8,57,0,0,27
2018-10,0,7,65,0,0,18
2018-11,0,2,52,8,0,10
2018-12,0,3,31,1,0,8
2019-01,0,23,60,0,0,26
2019-02,7,19,83,2,1,12
2019-03,0,4,53,5,6,17
2019-04,0,12,67,0,1,24
2019-05,0,14,53,1,0,21
2019-06,1,1,63,0,0,9
2019-07,0,7,41,0,4,24
2019-08,5,5,67,0,0,9
