YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2018-01,0,8,33,2,0
2018-02,1,3,20,1,0
2018-03,2,6,41,1,3
2018-04,0,5,63,0,1
2018-05,1,5,30,0,0
2018-06,1,2,35,0,2
2018-07,0,3,28,3,4
2018-08,1,14,48,2,5
2018-09,4,8,57,0,0
2018-10,0,7,65,0,0
2018-11,0,2,52,8,0
2018-12,0,3,31,1,0
2019-01,0,23,60,0,0
2019-02,7,19,83,2,1
2019-03,0,4,53,5,6
2019-04,0,12,67,0,1
2019-05,0,14,53,1,0
2019-06,1,1,63,0,0
2019-07,0,7,41,0,4
2019-08,5,5,67,0,0
2019-09,0,2,39,3,0
2019-10,0,3,28,1,0
2019-11,0,2,38,2,5
2019-12,0,1,33,0,1
