YEAR_MONTH,Herkunftsland,LS,,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
201501,Kosovo,150,"",3630,3034,596,638,0,0,0,2,246,390,8094,2135,0,0,0,2,231,303,0,0,0,0,15,47,40
201502,Kosovo,150,"",7728,6913,815,2233,0,0,0,5,1773,455,13068,2695,0,0,0,3,1655,257,0,0,0,2,118,114,84
201503,Kosovo,150,"",11729,11147,582,8401,0,0,1,9,7709,682,16445,2676,0,0,0,9,7349,416,0,0,1,0,360,207,59
201504,Kosovo,150,"",4608,4319,289,6109,0,2,0,5,5630,472,15246,2393,0,2,0,3,5214,289,0,0,0,2,416,130,53
201505,Kosovo,150,"",1947,1781,166,3437,0,2,6,13,3052,364,13910,2287,0,2,6,12,2875,260,0,0,0,1,177,76,28
201506,Kosovo,150,"",1581,1373,208,2204,0,2,9,4,1883,306,13385,2256,0,2,9,3,1744,198,0,0,0,1,139,90,18
201507,Kosovo,150,"",1395,1205,190,2097,0,1,0,13,1810,273,12886,2220,0,1,0,10,1664,170,0,0,0,3,146,79,24
201508,Kosovo,150,"",781,625,156,505,0,0,3,9,376,117,13190,2315,0,0,3,7,348,75,0,0,0,2,28,25,17
201509,Kosovo,150,"",796,622,174,988,0,0,0,12,829,147,13068,2362,0,0,0,9,768,88,0,0,0,3,61,43,16
201510,Kosovo,150,"",753,619,134,1451,0,0,3,12,1230,206,12542,2340,0,0,3,10,1156,113,0,0,0,2,74,74,19
201511,Kosovo,150,"",663,549,114,804,0,5,0,7,603,189,12680,2378,0,5,0,7,563,131,0,0,0,0,40,41,17
201512,Kosovo,150,"",451,342,109,1301,0,1,0,6,1089,205,11997,2338,0,1,0,6,1027,111,0,0,0,0,62,66,28
201601,Kosovo,150,"",551,427,124,2337,0,0,0,3,2045,289,10412,2252,0,0,0,3,1910,217,0,0,0,0,135,40,32
201602,Kosovo,150,"",503,363,140,1961,0,0,0,7,1590,364,9264,2053,0,0,0,5,1449,179,0,0,0,2,141,131,54
201603,Kosovo,150,"",389,251,138,2571,0,1,2,9,2121,438,7440,1758,0,1,1,8,1915,201,0,0,1,1,206,185,52
201604,Kosovo,150,"",519,380,139,2291,0,0,0,11,1690,590,6001,1468,0,0,0,10,1531,315,0,0,0,1,159,219,56
201605,Kosovo,150,"",547,434,113,1856,1,0,0,11,1449,395,5027,1244,1,0,0,3,1308,195,0,0,0,8,141,159,41
