YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
201501,0,0,0,2,246,390
201502,0,0,0,5,1773,455
201503,0,0,1,9,7709,682
201504,0,2,0,5,5630,472
201505,0,2,6,13,3052,364
201506,0,2,9,4,1883,306
201507,0,1,0,13,1810,273
201508,0,0,3,9,376,117
201509,0,0,0,12,829,147
201510,0,0,3,12,1230,206
201511,0,5,0,7,603,189
201512,0,1,0,6,1089,205
201601,0,0,0,3,2045,289
201602,0,0,0,7,1590,364
201603,0,1,2,9,2121,438
201604,0,0,0,11,1690,590
201605,1,0,0,11,1449,395
