YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2017-01,0,2,1,0,43,86
2017-02,0,11,2,0,36,96
2017-03,0,2,2,6,54,133
2017-04,0,5,2,4,160,68
201705,0,5,0,17,356,66
2017-06,0,5,0,7,96,61
2017-07,0,7,2,10,61,82
2017-08,0,8,0,6,56,55
2017-09,0,4,1,4,26,38
2017-10,1,2,4,3,59,40
2017-11,0,1,1,4,50,40
2017-12,0,4,1,1,37,38
2018-01,0,4,4,2,36,37
2018-02,0,2,0,2,31,24
2018-03,0,1,0,2,24,32
2018-04,0,0,0,2,27,28
2018-05,0,1,0,0,26,36
2018-06,0,0,0,1,18,23
2018-07,0,0,0,1,18,27
2018-08,0,0,0,1,17,15
2018-09,0,1,0,1,12,22
2018-10,0,1,2,2,16,18
