YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2018-01,0,4,4,2,36
2018-02,0,2,0,2,31
2018-03,0,1,0,2,24
2018-04,0,0,0,2,27
2018-05,0,1,0,0,26
2018-06,0,0,0,1,18
2018-07,0,0,0,1,18
2018-08,0,0,0,1,17
2018-09,0,1,0,1,12
2018-10,0,1,2,2,16
2018-11,0,1,1,3,11
2018-12,0,1,1,1,12
2019-01,0,1,1,1,19
2019-02,0,2,1,2,17
2019-03,0,2,0,1,15
2019-04,1,6,1,4,14
2019-05,0,3,0,1,11
2019-06,0,1,0,0,10
2019-07,0,2,0,0,9
2019-08,0,0,0,2,11
2019-09,0,2,0,4,6
2019-10,0,0,0,1,7
2019-11,0,0,0,3,9
