YEAR_MONTH,Herkunftsland,LS,,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
201501,Mazedonien,144,"",919,540,379,980,0,2,0,4,650,324,2682,1608,0,2,0,1,551,50,0,0,0,3,99,230,44
201502,Mazedonien,144,"",958,547,411,788,0,3,0,1,547,237,2757,1736,0,3,0,1,460,35,0,0,0,0,87,174,28
201503,Mazedonien,144,"",1186,744,442,597,0,1,0,1,391,204,3131,1990,0,1,0,0,357,37,0,0,0,1,34,137,30
201504,Mazedonien,144,"",972,617,355,608,0,0,0,2,407,199,3334,2181,0,0,0,1,384,49,0,0,0,1,23,104,46
201505,Mazedonien,144,"",996,637,359,431,0,0,0,0,320,111,3695,2446,0,0,0,0,280,39,0,0,0,0,40,50,22
201506,Mazedonien,144,"",1514,984,530,768,0,0,0,0,524,244,4227,2701,0,0,0,0,444,40,0,0,0,0,80,153,51
201507,Mazedonien,144,"",1961,1285,676,855,0,0,0,0,579,276,5013,3079,0,0,0,0,506,47,0,0,0,0,73,192,37
201508,Mazedonien,144,"",1470,882,588,367,0,6,0,2,219,140,5689,3565,0,6,0,2,203,48,0,0,0,0,16,63,29
201509,Mazedonien,144,"",1381,879,502,701,0,5,0,5,511,180,6063,3939,0,5,0,5,485,72,0,0,0,0,26,72,36
201510,Mazedonien,144,"",1039,703,336,902,0,4,1,5,645,247,6094,4047,0,4,1,0,571,81,0,0,0,5,74,125,41
201511,Mazedonien,144,"",835,609,226,561,0,1,0,0,351,209,6351,4107,0,0,0,0,321,75,0,1,0,0,30,98,36
201512,Mazedonien,144,"",470,297,173,741,0,1,0,0,485,255,6180,4091,0,1,0,0,450,96,0,0,0,0,35,116,43
201601,Mazedonien,144,"",366,236,130,1521,0,0,0,5,1217,299,5241,3922,0,0,0,0,1123,133,0,0,0,5,94,118,48
201602,Mazedonien,144,"",543,349,194,1472,0,0,0,6,1045,421,4521,3753,0,0,0,6,946,153,0,0,0,0,99,192,76
201603,Mazedonien,144,"",482,294,188,1751,0,0,0,0,1051,700,3767,3231,0,0,0,0,882,163,0,0,0,0,169,400,137
201604,Mazedonien,144,"",484,363,121,1464,0,0,1,0,765,698,3350,2666,0,0,1,0,605,194,0,0,0,0,160,369,135
201605,Mazedonien,144,"",439,329,110,1226,0,0,0,2,670,554,3058,2218,0,0,0,2,517,141,0,0,0,0,153,332,81
