YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
201501,0,2,0,4,650,324
201502,0,3,0,1,547,237
201503,0,1,0,1,391,204
201504,0,0,0,2,407,199
201505,0,0,0,0,320,111
201506,0,0,0,0,524,244
201507,0,0,0,0,579,276
201508,0,6,0,2,219,140
201509,0,5,0,5,511,180
201510,0,4,1,5,645,247
201511,0,1,0,0,351,209
201512,0,1,0,0,485,255
201601,0,0,0,5,1217,299
201602,0,0,0,6,1045,421
201603,0,0,0,0,1051,700
201604,0,0,1,0,765,698
201605,0,0,0,2,670,554
