YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2017-01,Moldau (Republik),146,243,235,8,418,0,0,0,0,367,51,213,5,0,0,0,0,367,41,0,0,0,0,0,8,2
2017-02,Moldau (Republik),146,113,105,8,210,0,4,0,0,168,38,137,6,0,4,0,0,168,31,0,0,0,0,0,7,0
2017-03,Moldau (Republik),146,48,46,2,98,1,1,2,0,64,30,96,6,1,1,2,0,64,28,0,0,0,0,0,1,1
2017-04,Moldau (Republik),146,36,31,5,62,0,1,0,3,41,17,76,7,0,1,0,3,40,15,0,0,0,0,1,2,0
2017-05,Moldau (Republik),146,37,29,8,52,1,4,0,0,34,13,68,9,1,4,0,0,32,13,0,0,0,0,2,0,0
2017-06,Moldau (Republik),146,27,19,8,43,0,0,0,0,29,14,52,11,0,0,0,0,29,8,0,0,0,0,0,6,0
2017-07,Moldau (Republik),146,34,24,10,41,0,1,0,0,27,13,50,10,0,1,0,0,25,3,0,0,0,0,2,10,0
2017-08,Moldau (Republik),146,80,61,19,88,0,0,2,1,69,16,51,5,0,0,2,1,58,3,0,0,0,0,11,13,0
2017-09,Moldau (Republik),146,93,69,24,103,0,1,1,1,68,32,47,6,0,1,1,0,68,10,0,0,0,1,0,22,0
2017-10,Moldau (Republik),146,61,39,22,74,1,0,0,0,44,29,43,2,1,0,0,0,38,9,0,0,0,0,6,15,5
2017-11,Moldau (Republik),146,129,112,17,78,0,0,1,1,71,5,80,4,0,0,0,1,70,1,0,0,1,0,1,3,1
2017-12,Moldau (Republik),146,140,105,35,96,0,0,0,0,78,18,102,4,0,0,0,0,77,6,0,0,0,0,1,12,0
2018-01,Moldau (Republik),146,155,111,44,129,0,0,0,2,103,24,109,21,0,0,0,2,101,6,0,0,0,0,2,18,0
2018-02,Moldau (Republik),146,220,184,36,178,0,1,0,0,115,62,178,17,0,1,0,0,110,9,0,0,0,0,5,53,0
2018-03,Moldau (Republik),146,200,171,29,219,0,0,0,0,199,20,143,37,0,0,0,0,194,16,0,0,0,0,5,2,2
2018-04,Moldau (Republik),146,128,100,28,179,0,0,0,1,139,39,102,27,0,0,0,1,134,5,0,0,0,0,5,29,5
2018-05,Moldau (Republik),146,146,89,57,133,0,0,0,1,85,47,104,43,0,0,0,1,79,10,0,0,0,0,6,31,6
