YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2018-01,0,0,0,2,103
2018-02,0,1,0,0,115
2018-03,0,0,0,0,199
2018-04,0,0,0,1,139
2018-05,0,0,0,1,85
2018-06,0,0,0,0,132
2018-07,0,0,0,0,151
2018-08,0,0,0,0,238
2018-09,0,4,1,0,148
2018-10,0,0,0,1,76
2018-11,0,0,1,2,69
2018-12,0,1,2,1,102
2019-01,0,0,0,2,291
2019-02,0,0,0,5,241
2019-03,0,0,0,1,143
2019-04,0,0,0,0,101
2019-05,1,1,0,0,56
2019-06,0,0,0,1,35
2019-07,0,0,0,1,45
2019-08,0,0,0,2,61
2019-09,0,0,0,0,90
2019-10,0,0,0,0,52
2019-11,0,0,0,0,126
