YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
201601,Nigeria,232,113,103,10,194,0,0,6,7,81,100,8889,201,0,0,5,6,76,96,0,0,1,1,5,1,3
201602,Nigeria,232,303,296,7,152,2,1,1,5,30,113,9073,200,1,1,1,3,28,106,1,0,0,2,2,1,6
201603,Nigeria,232,461,456,5,126,0,12,0,4,49,61,9456,197,0,10,0,3,49,58,0,2,0,1,0,3,0
201604,Nigeria,232,814,806,8,82,0,0,1,2,24,55,10254,206,0,0,1,2,23,53,0,0,0,0,1,1,1
201605,Nigeria,232,947,944,3,77,1,0,0,4,24,48,11197,205,1,0,0,4,24,46,0,0,0,0,0,0,2
201606,Nigeria,232,1776,1761,15,185,1,15,1,14,51,103,12891,217,1,15,1,14,51,97,0,0,0,0,0,1,5
201607,Nigeria,232,1515,1505,10,207,0,5,3,14,99,86,14312,235,0,4,1,13,97,80,0,1,2,1,2,5,1
201608,Nigeria,232,2246,2240,6,268,0,1,1,12,146,108,16483,244,0,1,1,12,146,100,0,0,0,0,0,7,1
201609,Nigeria,232,1642,1632,10,444,1,10,4,18,283,128,17790,274,1,10,4,18,282,127,0,0,0,0,1,1,0
201610,Nigeria,232,918,910,8,535,3,26,6,23,302,175,18277,289,3,26,6,23,302,173,0,0,0,0,0,2,0
201611,Nigeria,232,885,880,5,612,0,12,0,57,286,257,18611,313,0,12,0,57,286,247,0,0,0,0,0,3,7
201612,Nigeria,232,621,609,12,974,3,35,11,53,413,459,18315,351,3,35,11,52,411,437,0,0,0,1,2,2,20
201701,Nigeria,232,688,674,14,1401,5,54,19,82,589,652,17700,358,5,54,18,81,588,633,0,0,1,1,1,10,9
201702,Nigeria,232,525,517,8,2047,1,85,8,152,996,805,16308,338,1,85,8,142,992,786,0,0,0,10,4,5,14
201703,Nigeria,232,630,615,15,2245,1,82,20,167,1174,801,14850,339,1,82,20,165,1170,767,0,0,0,2,4,22,12
201704,Nigeria,232,498,484,14,2309,3,142,30,238,1246,650,13019,461,3,142,30,234,1240,606,0,0,0,4,6,6,38
201705,Nigeria,232,519,497,22,5396,13,328,74,496,3648,837,8268,466,13,326,74,479,3626,735,0,2,0,17,22,22,80
201706,Nigeria,232,635,608,27,1774,0,128,16,156,1058,416,7252,468,0,123,16,153,1042,371,0,5,0,3,16,5,40
201707,Nigeria,232,733,697,36,1734,4,151,10,191,841,537,6422,406,4,141,10,158,828,462,0,10,0,33,13,29,46
201708,Nigeria,232,714,679,35,1652,3,107,17,136,755,634,5641,383,3,105,17,133,745,573,0,2,0,3,10,20,41
201709,Nigeria,232,673,631,42,1291,0,88,22,120,564,497,5243,371,0,86,21,111,549,438,0,2,1,9,15,14,45
