YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
201601,0,0,6,7,81,100
201602,2,1,1,5,30,113
201603,0,12,0,4,49,61
201604,0,0,1,2,24,55
201605,1,0,0,4,24,48
201606,1,15,1,14,51,103
201607,0,5,3,14,99,86
201608,0,1,1,12,146,108
201609,1,10,4,18,283,128
201610,3,26,6,23,302,175
201611,0,12,0,57,286,257
201612,3,35,11,53,413,459
201701,5,54,19,82,589,652
201702,1,85,8,152,996,805
201703,1,82,20,167,1174,801
201704,3,142,30,238,1246,650
201705,13,328,74,496,3648,837
201706,0,128,16,156,1058,416
201707,4,151,10,191,841,537
201708,3,107,17,136,755,634
