YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2017-01,5,54,19,82,589,652
2017-02,1,85,8,152,996,805
2017-03,1,82,20,167,1174,801
2017-04,3,142,30,238,1246,650
201705,13,328,74,496,3648,837
2017-06,0,128,16,156,1058,416
2017-07,4,151,10,191,841,537
2017-08,3,107,17,136,755,634
2017-09,0,88,22,120,564,497
2017-10,1,111,15,115,597,498
2017-11,4,127,18,143,688,420
2017-12,0,139,28,175,477,447
2018-01,9,133,14,178,757,559
2018-02,2,115,19,142,530,567
2018-03,11,113,18,121,478,584
2018-04,1,67,10,93,454,639
2018-05,0,77,5,61,439,682
2018-06,2,34,2,38,467,578
2018-07,3,18,4,44,382,568
2018-08,2,44,14,51,498,494
