YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
201601,0,14,0,1,242,77
201602,0,23,2,4,266,100
201603,1,17,1,2,140,54
201604,1,19,0,2,130,114
201605,1,12,1,0,109,114
201606,1,20,0,2,140,110
201607,0,21,5,3,630,222
201608,0,23,1,19,827,265
201609,2,5,2,13,955,487
201610,1,24,6,10,884,630
201611,3,32,19,30,1880,1233
201612,0,54,12,16,2010,943
201701,4,43,5,24,2443,778
201702,2,56,7,14,2337,742
201703,10,79,20,23,2178,623
201704,2,44,8,34,1601,384
201705,1,69,25,51,1936,575
201706,5,27,2,22,761,233
201707,0,39,6,26,943,312
201708,3,26,6,28,840,361
201709,0,19,4,6,407,254
201710,2,28,1,18,514,208
