YEAR_MONTH,Herkunftsland,LS,,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
201501,Serbien,170,"",3328,2042,1286,3392,0,0,0,1,2148,1243,7958,4610,0,0,0,1,1969,124,0,0,0,0,179,1038,81
201502,Serbien,170,"",2849,1871,978,2788,0,0,0,0,1733,1055,8171,4512,0,0,0,0,1599,106,0,0,0,0,134,860,89
201503,Serbien,170,"",2833,1709,1124,2177,0,0,0,3,1365,809,8528,4946,0,0,0,3,1282,145,0,0,0,0,83,576,88
201504,Serbien,170,"",2279,1462,817,1885,0,0,0,0,1042,843,8879,5035,0,0,0,0,958,212,0,0,0,0,84,546,85
201505,Serbien,170,"",1990,1395,595,1607,0,0,0,2,899,706,9357,5042,0,0,0,2,844,171,0,0,0,0,55,442,93
201506,Serbien,170,"",2240,1404,836,1888,0,0,0,6,1161,721,9617,5213,0,0,0,6,1053,152,0,0,0,0,108,489,80
201507,Serbien,170,"",2377,1449,928,1870,0,0,0,5,1087,778,9994,5430,0,0,0,5,969,172,0,0,0,0,118,480,126
201508,Serbien,170,"",2479,1371,1108,675,0,0,0,0,369,306,11008,6303,0,0,0,0,353,84,0,0,0,0,16,169,53
201509,Serbien,170,"",1982,1201,781,1463,0,3,0,0,951,509,11266,6672,0,3,0,0,913,126,0,0,0,0,38,316,67
201510,Serbien,170,"",1423,861,562,1608,0,0,0,2,1018,588,11111,6756,0,0,0,2,952,172,0,0,0,0,66,331,85
201511,Serbien,170,"",1362,809,553,1113,0,0,0,3,588,522,11343,6903,0,0,0,3,534,160,0,0,0,0,54,285,77
201512,Serbien,170,"",906,380,526,1973,0,1,0,0,1310,662,10327,6917,0,1,0,0,1253,192,0,0,0,0,57,361,109
201601,Serbien,170,"",910,473,437,2976,0,0,0,3,2203,770,8625,6622,0,0,0,3,2053,197,0,0,0,0,150,454,119
201602,Serbien,170,"",941,539,402,2793,0,0,0,0,1665,1128,7478,5933,0,0,0,0,1456,255,0,0,0,0,209,678,195
201603,Serbien,170,"",782,453,329,3406,0,3,0,5,1897,1501,5905,4848,0,3,0,4,1662,359,0,0,0,1,235,895,247
201604,Serbien,170,"",684,459,225,3012,0,0,0,2,1564,1446,4803,3728,0,0,0,0,1333,332,0,0,0,2,231,906,208
201605,Serbien,170,"",524,327,197,1973,0,0,0,2,970,1001,4217,2952,0,0,0,1,781,223,0,0,0,1,189,664,114
