YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
201501,0,0,0,1,2148,1243
201502,0,0,0,0,1733,1055
201503,0,0,0,3,1365,809
201504,0,0,0,0,1042,843
201505,0,0,0,2,899,706
201506,0,0,0,6,1161,721
201507,0,0,0,5,1087,778
201508,0,0,0,0,369,306
201509,0,3,0,0,951,509
201510,0,0,0,2,1018,588
201511,0,0,0,3,588,522
201512,0,1,0,0,1310,662
201601,0,0,0,3,2203,770
201602,0,0,0,0,1665,1128
201603,0,3,0,5,1897,1501
201604,0,0,0,2,1564,1446
201605,0,0,0,2,970,1001
