YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2017-01,Sierra Leone,272,147,147,0,98,0,4,0,8,28,58,1359,39,0,4,0,8,27,56,0,0,0,0,1,1,1
2017-02,Sierra Leone,272,108,104,4,130,0,5,3,11,52,59,1341,40,0,5,3,11,51,59,0,0,0,0,1,0,0
2017-03,Sierra Leone,272,76,75,1,145,0,1,0,3,20,121,1276,38,0,1,0,3,18,116,0,0,0,0,2,1,4
2017-04,Sierra Leone,272,66,64,2,230,0,22,4,20,95,89,1102,51,0,22,4,20,93,86,0,0,0,0,2,1,2
2017-05,Sierra Leone,272,38,36,2,277,0,24,2,27,197,27,868,46,0,24,2,26,190,12,0,0,0,1,7,3,12
2017-06,Sierra Leone,272,63,61,2,315,0,18,4,29,215,49,625,35,0,18,4,29,212,36,0,0,0,0,3,5,8
2017-07,Sierra Leone,272,65,64,1,303,0,22,1,15,119,146,411,24,0,22,1,15,114,135,0,0,0,0,5,5,6
2017-08,Sierra Leone,272,65,61,4,120,0,12,1,13,55,39,364,28,0,12,1,13,55,35,0,0,0,0,0,2,2
2017-09,Sierra Leone,272,52,44,8,113,1,11,0,5,41,55,310,35,1,11,0,5,39,53,0,0,0,0,2,1,1
2017-10,Sierra Leone,272,61,57,4,148,0,15,0,19,44,70,258,29,0,15,0,17,43,63,0,0,0,2,1,2,5
2017-11,Sierra Leone,272,91,86,5,162,0,8,1,16,71,66,229,24,0,8,1,15,70,58,0,0,0,1,1,5,3
2017-12,Sierra Leone,272,55,53,2,111,0,12,0,8,42,49,212,19,0,12,0,7,38,44,0,0,0,1,4,1,4
2018-01,Sierra Leone,272,50,42,8,156,0,7,1,18,62,68,155,13,0,7,1,17,58,61,0,0,0,1,4,3,4
2018-02,Sierra Leone,272,26,20,6,127,0,1,1,7,75,43,131,12,0,1,1,7,74,35,0,0,0,0,1,3,5
2018-03,Sierra Leone,272,17,14,3,84,0,4,1,10,52,17,122,10,0,4,1,10,51,14,0,0,0,0,1,1,2
2018-04,Sierra Leone,272,62,56,6,99,0,13,0,3,49,34,143,7,0,10,0,2,48,27,0,3,0,1,1,2,5
2018-05,Sierra Leone,272,47,44,3,61,0,6,0,4,30,21,158,10,0,6,0,4,30,17,0,0,0,0,0,1,3
2018-06,Sierra Leone,272,33,29,4,104,0,6,0,0,78,20,157,11,0,4,0,0,78,13,0,2,0,0,0,3,4
2018-07,Sierra Leone,272,41,35,6,91,0,5,1,2,58,25,152,12,0,5,1,2,58,20,0,0,0,0,0,4,1
2018-08,Sierra Leone,272,23,22,1,62,0,6,1,1,31,23,144,8,0,4,1,1,30,19,0,2,0,0,1,2,2
2018-09,Sierra Leone,272,22,21,1,49,0,5,0,3,27,14,144,7,0,5,0,2,26,10,0,0,0,1,1,3,1
2018-10,Sierra Leone,272,15,12,3,67,0,3,0,5,44,15,132,6,0,3,0,4,43,9,0,0,0,1,1,2,4
2018-11,Sierra Leone,272,30,28,2,56,0,0,1,2,43,10,137,6,0,0,1,2,41,7,0,0,0,0,2,0,3
2018-12,Sierra Leone,272,18,15,3,36,0,1,1,2,22,10,141,7,0,1,1,2,22,7,0,0,0,0,0,2,1
2019-01,Sierra Leone,272,13,9,4,46,0,3,0,3,31,9,130,8,0,3,0,2,28,8,0,0,0,1,3,1,0
2019-02,Sierra Leone,272,29,26,3,43,0,8,0,1,22,12,132,11,0,8,0,1,21,10,0,0,0,0,1,1,1
2019-03,Sierra Leone,272,28,24,4,50,0,6,1,2,21,20,118,13,0,6,1,2,20,17,0,0,0,0,1,1,2
2019-04,Sierra Leone,272,18,14,4,36,0,3,0,2,17,14,111,14,0,3,0,2,16,12,0,0,0,0,1,0,2
2019-05,Sierra Leone,272,25,21,4,45,0,1,2,2,23,17,111,11,0,1,2,2,22,10,0,0,0,0,1,7,0
2019-06,Sierra Leone,272,17,13,4,48,0,1,2,2,25,18,108,11,0,1,2,2,22,15,0,0,0,0,3,1,2
2019-07,Sierra Leone,272,21,15,6,38,0,3,1,3,13,18,107,13,0,3,1,2,11,15,0,0,0,1,2,2,1
2019-08,Sierra Leone,272,18,14,4,31,0,1,0,0,20,10,106,11,0,1,0,0,20,5,0,0,0,0,0,3,2
