YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
201501,0,0,0,0,0,2
201502,0,0,0,0,0,0
201503,0,0,0,0,0,6
201504,0,0,0,1,0,3
201505,0,1,0,0,0,1
201506,0,0,0,2,5,4
201507,0,0,0,0,0,2
201508,0,1,0,1,0,7
201509,0,0,0,0,0,0
201510,0,0,0,1,0,2
201511,0,1,0,2,6,7
201512,0,1,0,1,15,5
201601,0,0,0,1,10,5
201602,0,0,0,0,3,5
201603,0,0,0,0,0,4
201604,0,0,0,0,0,1
201605,0,0,0,0,0,4
201606,0,0,0,0,2,3
201607,0,0,0,1,3,2
201608,0,1,0,0,1,5
201609,0,0,0,0,2,11
201610,0,0,1,0,10,17
201611,0,0,1,1,10,15
201612,0,5,0,0,7,15
