YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2017-01,3,508,402,327,228,426
2017-02,1,538,526,317,255,564
2017-03,0,656,593,247,294,591
2017-04,0,587,577,232,263,379
201705,1,638,668,233,298,472
2017-06,1,310,291,153,177,320
2017-07,1,313,346,135,193,494
2017-08,2,307,225,163,174,461
2017-09,2,236,180,86,120,465
2017-10,4,260,161,92,121,422
2017-11,3,292,221,91,109,450
2017-12,2,222,138,88,124,347
2018-01,1,234,191,131,169,378
2018-02,4,201,140,57,149,324
2018-03,5,192,124,83,164,337
2018-04,2,205,106,65,166,313
2018-05,1,131,27,53,180,308
2018-06,0,86,20,31,137,280
2018-07,1,89,21,37,132,243
2018-08,3,144,31,57,137,229
2018-09,1,130,32,37,131,221
2018-10,7,155,27,42,143,261
2018-11,1,184,43,32,144,263
2018-12,2,134,27,30,96,138
