YEAR_MONTH,Herkunftsland,LS,,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
201501,Staatenlos,997,"",282,255,27,190,4,155,0,1,4,26,1076,68,3,135,0,0,4,26,1,20,0,1,0,0,0
201502,Staatenlos,997,"",138,133,5,181,0,133,0,1,1,46,1069,58,0,117,0,1,1,46,0,16,0,0,0,0,0
201503,Staatenlos,997,"",82,73,9,149,1,118,0,0,0,30,1021,60,1,104,0,0,0,30,0,14,0,0,0,0,0
201504,Staatenlos,997,"",139,119,20,98,0,78,0,0,1,19,1056,77,0,71,0,0,1,19,0,7,0,0,0,0,0
201505,Staatenlos,997,"",150,135,15,173,0,122,0,0,10,41,1020,90,0,117,0,0,10,41,0,5,0,0,0,0,0
201506,Staatenlos,997,"",313,306,7,165,4,146,0,0,2,13,1189,73,4,119,0,0,2,12,0,27,0,0,0,0,1
201507,Staatenlos,997,"",364,361,3,159,0,124,0,0,3,32,1429,61,0,113,0,0,3,27,0,11,0,0,0,1,4
201508,Staatenlos,997,"",271,258,13,164,0,161,0,0,0,3,1561,71,0,149,0,0,0,3,0,12,0,0,0,0,0
201509,Staatenlos,997,"",436,426,10,154,0,149,0,1,0,4,1877,72,0,136,0,1,0,4,0,13,0,0,0,0,0
201510,Staatenlos,997,"",688,685,3,238,1,226,0,0,1,10,2339,71,1,219,0,0,1,9,0,7,0,0,0,1,0
201511,Staatenlos,997,"",724,718,6,231,0,226,0,0,2,3,2858,76,0,225,0,0,2,3,0,1,0,0,0,0,0
201512,Staatenlos,997,"",479,476,3,322,0,319,0,0,1,2,2853,66,0,308,0,0,1,1,0,11,0,0,0,1,0
201601,Staatenlos,997,"",599,594,5,436,0,426,0,0,7,3,2890,63,0,414,0,0,6,2,0,12,0,0,1,0,1
201602,Staatenlos,997,"",602,597,5,388,2,373,0,0,4,9,3052,63,2,371,0,0,4,7,0,2,0,0,0,2,0
201603,Staatenlos,997,"",508,504,4,299,0,262,15,6,3,13,3236,61,0,257,15,5,2,11,0,5,0,1,1,0,2
201604,Staatenlos,997,"",473,466,7,279,0,213,45,1,5,15,3449,64,0,209,45,1,5,14,0,4,0,0,0,1,0
201605,Staatenlos,997,"",424,420,4,282,2,190,69,0,7,14,3601,66,2,190,68,0,7,13,0,0,1,0,0,1,0
