YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2017-01,"Syrien, Arabische Republik",475,2717,2675,42,13410,57,4415,8199,32,12,695,47930,1113,57,4327,7869,26,12,652,0,88,330,6,0,28,15
2017-02,"Syrien, Arabische Republik",475,3305,3220,85,12751,61,3919,7908,53,21,789,39959,1028,61,3881,7783,35,14,718,0,38,125,18,7,33,38
2017-03,"Syrien, Arabische Republik",475,4002,3898,104,14314,62,4447,8823,54,23,905,31428,815,62,4377,8715,51,23,769,0,70,108,3,0,97,39
2017-04,"Syrien, Arabische Republik",475,2779,2704,75,10528,63,3592,6120,48,12,693,24717,668,63,3546,6035,40,8,590,0,46,85,8,4,88,15
2017-05,"Syrien, Arabische Republik",475,3952,3888,64,10756,71,3577,6284,49,27,748,18896,525,71,3539,6220,38,16,665,0,38,64,11,11,60,23
2017-06,"Syrien, Arabische Republik",475,3217,3135,82,5695,32,2153,3007,70,7,426,17095,514,32,2122,2983,49,7,382,0,31,24,21,0,28,16
2017-07,"Syrien, Arabische Republik",475,3944,3841,103,6732,60,2325,3662,39,14,632,15183,468,60,2273,3633,31,11,588,0,52,29,8,3,35,9
2017-08,"Syrien, Arabische Republik",475,4204,4079,125,6268,67,2239,3135,49,9,769,13949,465,67,2194,3093,46,9,688,0,45,42,3,0,50,31
2017-09,"Syrien, Arabische Republik",475,3256,3121,135,5423,50,2050,2383,64,10,866,12874,453,50,2006,2360,55,9,771,0,44,23,9,1,67,28
2017-10,"Syrien, Arabische Republik",475,3473,3331,142,5220,66,2037,2173,32,2,910,12245,453,66,1968,2160,26,2,812,0,69,13,6,0,51,47
2017-11,"Syrien, Arabische Republik",475,4060,3918,142,5124,104,2005,2199,29,3,784,11872,425,104,1918,2183,14,3,668,0,87,16,15,0,61,55
2017-12,"Syrien, Arabische Republik",475,3105,3018,87,3930,44,1370,1896,35,3,582,11776,380,44,1303,1874,26,3,512,0,67,22,9,0,45,25
2018-01,"Syrien, Arabische Republik",475,2590,2450,140,4300,86,1326,2104,38,15,731,10824,354,86,1274,2086,33,10,616,0,52,18,5,5,84,31
2018-02,"Syrien, Arabische Republik",475,2329,2206,123,3181,126,916,1578,18,10,533,11879,315,126,821,1559,7,10,457,0,95,19,11,0,62,14
