YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2018-01,86,1326,2104,38,15
2018-02,126,916,1578,18,10
2018-03,68,998,1578,21,13
2018-04,90,1146,1483,21,3
2018-05,49,1380,1307,28,7
2018-06,27,996,1168,23,5
2018-07,15,1001,1126,14,6
2018-08,50,1645,1495,17,10
2018-09,21,2021,1383,16,2
2018-10,42,2337,1584,28,13
2018-11,39,2353,1480,10,1
2018-12,29,1503,1118,35,0
2019-01,39,2079,1880,33,8
2019-02,23,1891,1803,18,1
2019-03,39,2833,1331,244,4
2019-04,45,1889,420,142,1
2019-05,33,1791,369,10,4
2019-06,12,1577,1106,13,8
2019-07,37,2184,2261,21,3
2019-08,38,1754,1430,18,13
