YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2017-01,2,12,5,1,169,125
2017-02,5,7,5,2,108,125
2017-03,0,19,1,3,95,146
2017-04,55,156,18,3,395,201
2017-05,286,392,47,30,1919,343
2017-06,94,199,9,9,734,163
2017-07,117,195,9,15,990,202
2017-08,109,161,17,21,641,220
2017-09,79,224,17,5,416,147
2017-10,57,256,2,5,552,157
2017-11,97,411,3,8,591,174
2017-12,71,288,7,13,396,139
2018-01,79,318,7,6,518,146
2018-02,87,281,1,5,314,93
2018-03,61,277,14,12,355,116
2018-04,36,203,4,4,382,135
2018-05,49,173,3,7,384,99
