YEAR_MONTH,Herkunftsland,LS,,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
201501,Ukraine,166,"",265,262,3,90,0,13,0,0,1,76,2710,48,0,13,0,0,1,76,0,0,0,0,0,0,0
201502,Ukraine,166,"",340,337,3,105,0,4,0,0,2,99,2939,54,0,4,0,0,2,98,0,0,0,0,0,0,1
201503,Ukraine,166,"",395,392,3,104,0,3,0,0,0,101,3229,60,0,3,0,0,0,99,0,0,0,0,0,0,2
201504,Ukraine,166,"",460,453,7,88,0,4,0,0,0,84,3593,71,0,2,0,0,0,84,0,2,0,0,0,0,0
201505,Ukraine,166,"",506,502,4,110,0,0,0,1,0,109,3985,76,0,0,0,1,0,106,0,0,0,0,0,1,2
201506,Ukraine,166,"",636,631,5,49,0,4,0,0,1,44,4573,82,0,4,0,0,1,44,0,0,0,0,0,0,0
201507,Ukraine,166,"",386,379,7,90,0,3,0,0,2,85,4863,89,0,3,0,0,2,83,0,0,0,0,0,0,2
201508,Ukraine,166,"",226,212,14,46,0,1,0,0,1,44,5035,103,0,1,0,0,1,43,0,0,0,0,0,0,1
201509,Ukraine,166,"",395,390,5,120,1,8,0,1,2,108,5316,107,1,8,0,1,2,107,0,0,0,0,0,0,1
201510,Ukraine,166,"",329,325,4,126,0,4,0,0,11,111,5539,106,0,4,0,0,11,102,0,0,0,0,0,0,9
201511,Ukraine,166,"",348,341,7,69,0,2,0,0,2,65,5843,113,0,2,0,0,2,65,0,0,0,0,0,0,0
201512,Ukraine,166,"",280,270,10,103,0,5,0,0,20,78,6020,117,0,5,0,0,20,71,0,0,0,0,0,0,7
201601,Ukraine,166,"",225,221,4,60,0,2,0,1,6,51,6188,121,0,2,0,1,6,51,0,0,0,0,0,0,0
201602,Ukraine,166,"",194,189,5,92,0,1,0,0,36,55,6282,126,0,1,0,0,36,54,0,0,0,0,0,0,1
201603,Ukraine,166,"",344,331,13,194,0,3,0,1,99,91,6432,131,0,3,0,1,99,83,0,0,0,0,0,2,6
201604,Ukraine,166,"",377,375,2,351,0,0,1,0,193,157,6456,133,0,0,1,0,193,156,0,0,0,0,0,0,1
201605,Ukraine,166,"",116,112,4,391,0,3,5,4,178,201,6178,139,0,3,5,4,178,195,0,0,0,0,0,0,6
